keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count,total_rank
skin,237,16.0,"['Beauty', 'Pet Care', 'Skincare', 'Hair Care', 'Sun Care', 'Body Care']",4.26,26123.0,6,32.7
hair,186,17.4,"['Beauty', 'Pet Care', 'Jewellery', 'Hair Care', 'Clothing Women']",4.35,417.0,5,30.4
women,147,19.8,"['Beauty', 'Jewellery', 'Sun Care', 'Skincare', 'Hair Care', 'Clothing Women', 'Electronics', 'Body Care']",4.0,42546.0,8,36.5
cleaner,145,15.9,"['Household Cleaners', 'Toilet Cleaners']",4.22,10624.0,2,31.9
men,132,19.8,"['Beauty', 'Jewellery', 'Sun Care', 'Skincare', 'Hair Care', 'Clothing Women', 'Electronics', 'Body Care']",4.0,42546.0,8,37.8
pack of,121,19.6,"['Beauty', 'Jewellery', 'Pet Care', 'Household Cleaners', 'Sun Care', 'Skincare', 'Hair Care', 'Toilet Cleaners', 'Clothing Women', 'Kitchen', 'Body Care']",4.3,530.0,11,34.0
toilet,94,17.0,"['Household Cleaners', 'Toilet Cleaners']",4.28,16770.0,2,33.8
all,93,24.7,"['Beauty', 'Books', 'Pet Care', 'Household Cleaners', 'Skincare', 'Hair Care', 'Toilet Cleaners', 'Sun Care', 'Electronics', 'Body Care']",4.03,22296.0,10,41.2
for men,89,19.8,"['Beauty', 'Jewellery', 'Sun Care', 'Skincare', 'Hair Care', 'Clothing Women', 'Electronics', 'Body Care']",4.0,42546.0,8,38.7
protection,89,12.8,"['Beauty', 'Jewellery', 'Pet Care', 'Household Cleaners', 'Sun Care', 'Skincare', 'Hair Care', 'Clothing Women', 'Kitchen', 'Body Care']",3.9,784.0,10,30.8
dry,87,14.7,"['Beauty', 'Pet Care', 'Skincare', 'Hair Care', 'Sun Care', 'Kitchen', 'Body Care']",4.3,27070.0,7,30.6
sunscreen,81,9.2,"['Beauty', 'Skincare', 'Sun Care']",4.2,16125.0,3,24.1
kids,77,15.8,"['Books', 'Jewellery', 'Toys', 'Sun Care']",4.47,446.0,4,25.8
for women,75,14.2,"['Beauty', 'Jewellery', 'Skincare', 'Hair Care', 'Clothing Women', 'Body Care']",3.95,905.0,6,31.0
spf,74,11.9,"['Beauty', 'Skincare', 'Sun Care']",4.2,19178.0,3,27.4
oil,72,18.2,"['Beauty', 'Toys', 'Food', 'Skincare', 'Hair Care', 'Body Care']",4.28,27066.0,6,29.7
girls,66,16.6,"['Jewellery', 'Toys']",4.04,933.0,2,31.200000000000003
acid,63,16.3,"['Beauty', 'Skincare', 'Hair Care', 'Sun Care', 'Body Care']",4.21,15356.0,5,32.7
body,59,18.6,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.31,37819.0,4,33.2
toilet cleaner,59,15.2,"['Household Cleaners', 'Toilet Cleaners']",4.29,19436.0,2,30.7
for kids,58,19.0,"['Books', 'Jewellery', 'Toys', 'Sun Care']",4.3,130.0,4,32.2
liquid,58,16.5,"['Skincare', 'Household Cleaners', 'Toilet Cleaners', 'Body Care']",4.4,47944.0,4,30.6
for all,57,14.6,"['Beauty', 'Pet Care', 'Household Cleaners', 'Skincare', 'Hair Care', 'Sun Care', 'Body Care']",4.3,22619.0,7,34.3
face,54,18.2,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.18,24000.0,4,35.599999999999994
types,53,13.8,"['Beauty', 'Skincare', 'Hair Care', 'Sun Care', 'Body Care']",4.3,21049.0,5,29.6
men women,49,16.0,"['Beauty', 'Jewellery', 'Sun Care', 'Skincare', 'Hair Care', 'Clothing Women', 'Body Care']",4.13,1515.0,7,30.7
serum,47,21.0,"['Beauty', 'Skincare', 'Hair Care', 'Body Care']",4.24,23427.0,4,37.9
food,47,14.0,"['Pet Care', 'Kitchen']",4.13,10324.0,2,31.2
