keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
skin,46,16.0,['Beauty'],4.26,26123.0,1
hair,29,13.2,['Beauty'],4.17,16567.0,1
acid,18,16.3,['Beauty'],4.21,15356.0,1
oil,18,18.2,['Beauty'],4.28,27066.0,1
men,13,17.5,['Beauty'],4.14,22768.0,1
women,13,17.3,['Beauty'],4.12,22411.0,1
dry,13,14.7,['Beauty'],4.3,27070.0,1
face,13,18.2,['Beauty'],4.18,24000.0,1
vitamin,12,20.8,['Beauty'],4.21,21854.0,1
wash,11,16.5,['Beauty'],4.18,16874.0,1
spf,9,11.9,['Beauty'],4.2,19178.0,1
face wash,9,16.7,['Beauty'],4.17,16177.0,1
smooth,9,13.0,['Beauty'],4.23,23278.0,1
body,9,18.6,['Beauty'],4.31,37819.0,1
for men,8,16.0,['Beauty'],4.08,17249.0,1
all,8,13.8,['Beauty'],4.3,21049.0,1
types,8,13.8,['Beauty'],4.3,21049.0,1
sunscreen,8,9.2,['Beauty'],4.2,16125.0,1
gentle,8,14.0,['Beauty'],4.26,19142.0,1
niacinamide,8,18.0,['Beauty'],4.2,21632.0,1
salicylic,8,16.9,['Beauty'],4.15,14881.0,1
moisture,8,18.2,['Beauty'],4.34,33202.0,1
serum,8,21.0,['Beauty'],4.24,23427.0,1
pack of,7,19.4,['Beauty'],4.21,13381.0,1
men women,7,15.0,['Beauty'],4.09,17052.0,1
for all,7,14.6,['Beauty'],4.3,22619.0,1
hyaluronic,7,11.9,['Beauty'],4.29,23375.0,1
gel,7,18.0,['Beauty'],4.26,25614.0,1
for dry,7,18.4,['Beauty'],4.31,23980.0,1
all skin,6,14.0,['Beauty'],4.3,17320.0,1
skin types,6,14.0,['Beauty'],4.3,17320.0,1
paris,6,12.0,['Beauty'],4.27,21185.0,1
natural,6,13.0,['Beauty'],4.13,19448.0,1
non-greasy,6,9.7,['Beauty'],4.23,19684.0,1
cast,6,9.7,['Beauty'],4.2,17604.0,1
tested,6,11.5,['Beauty'],4.18,17428.0,1
spf pa,6,10.2,['Beauty'],4.22,19536.0,1
no white,6,9.7,['Beauty'],4.2,17604.0,1
white cast,6,9.7,['Beauty'],4.2,17604.0,1
sensitive,6,13.5,['Beauty'],4.27,17991.0,1
shampoo,6,13.2,['Beauty'],4.15,12593.0,1
salicylic acid,6,20.2,['Beauty'],4.12,16894.0,1
oily,6,14.2,['Beauty'],4.2,19976.0,1
acne,6,21.5,['Beauty'],4.15,19831.0,1
for women,6,20.0,['Beauty'],4.17,28662.0,1
bath,5,1.6,['Beauty'],4.14,20089.0,1
paraben,5,9.4,['Beauty'],4.2,22639.0,1
soap,5,16.6,['Beauty'],4.22,19855.0,1
paraben free,5,9.4,['Beauty'],4.2,22639.0,1
colour,5,9.8,['Beauty'],4.1,9679.0,1
hydrating,5,4.4,['Beauty'],4.32,32127.0,1
lightweight,5,10.0,['Beauty'],4.18,25946.0,1
protection,5,12.0,['Beauty'],4.3,31693.0,1
in-vivo,5,10.6,['Beauty'],4.18,15722.0,1
normal,5,13.2,['Beauty'],4.28,25973.0,1
