rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
1,B09S6M7JQJ,Ghar Soaps Sandalwood & Saffron Magic Soaps For Bath (300 Gms Pack Of 3) | Paraben Free | Chandan & Kesar Bath Soap | Handmade Soaps For Glowing | Skin Brightening Soap For Men & Women,Ghar,399.0,INR,3.9,27506,Body Care,Body Care,,"https://images-eu.ssl-images-amazon.com/images/I/718F+0RgtfL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Sandalwood-Saffron-300-Handmade-Whitening/dp/B09S6M7JQJ/ref=zg_bs_g_1374408031_d_sccl_1/525-8789710-1731925?psc=1,2026-03-23T09:56:03.555510,1,36,True,budget,high
2,B0DVSNG7NC,"Be Bodywise 6% AHA BHA Underarm Roll On Deodorant,Flora Fragrance,1% Mandelic, 4% Lactic,1% Salicylic & Kojic Acid, Prevents Body Odour,Fades Pigmentation,Kills Bacteria, Alcohol & Aluminum Free, 50ml",Be,399.0,INR,4.3,13584,Body Care,Body Care,,"https://images-eu.ssl-images-amazon.com/images/I/71cdcEWtZZL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Be-Bodywise-Deodorant-Fragrance-Pigmentation/dp/B0DVSNG7NC/ref=zg_bs_g_1374408031_d_sccl_2/525-8789710-1731925?psc=1,2026-03-23T09:56:03.556461,1,27,True,budget,high
3,B07M9XYH9K,Dettol Liquid Handwash Refill – Skincare Hand Wash- 1350ml | pH Balanced | 10x Better Germ Protection,Dettol,174.0,INR,4.5,56572,Body Care,Body Care,,"https://images-eu.ssl-images-amazon.com/images/I/61cT-uFfHOL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Dettol-pH-Balanced-Skincare-Liquid-Handwash/dp/B07M9XYH9K/ref=zg_bs_g_1374408031_d_sccl_3/525-8789710-1731925?psc=1,2026-03-23T09:56:03.557402,1,17,True,budget,high
4,B07VKM2HR5,"NIVEA Nourishing Body Milk 600ml Body Lotion with Hyaluronic Acid | 72Hr Hydration | Deep Moisture Care for Very Dry Skin | Enriched with Almond Oil | Smooth, Radiant & Healthy Looking Skin Care",NIVEA,376.0,INR,4.4,61178,Body Care,Body Care,,"https://images-eu.ssl-images-amazon.com/images/I/51rIsCfcznL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/NIVEA-Body-Lotion-Nourishing-600ml/dp/B07VKM2HR5/ref=zg_bs_g_1374408031_d_sccl_4/525-8789710-1731925?psc=1,2026-03-23T09:56:03.558338,1,34,True,budget,high
5,B0CW1M1BC1,"Minimalist 10% Advanced Vitamin C Serum for Glowing Skin | Brightening & Dark Spot Treatment | Treats Uneven Skin Tone, Dullness & UV Damage | Daily Face Serum (Stable Vitamin C) | 10ml",Minimalist,284.0,INR,4.1,21093,Body Care,Body Care,,"https://images-eu.ssl-images-amazon.com/images/I/61vmEu4MuZL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Minimalist-Formulated-Sensitive-Irritating-Brightening/dp/B0CW1M1BC1/ref=zg_bs_g_1374408031_d_sccl_5/525-8789710-1731925?psc=1,2026-03-23T09:56:03.559274,1,33,True,budget,high
6,B0BDVG99J5,"Dot & Key Barrier Repair Moisturizer For Normal, Dry, Combination & Sensitive Skin | 120 Hrs Moisturization, With 5 Ceramides & Hyaluronic | Repairs Damaged Skin Barrier, Non-Comedogenic | 100g",Dot,348.0,INR,4.3,12741,Body Care,Body Care,,"https://images-eu.ssl-images-amazon.com/images/I/61SSD0FoULL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Moisturizer-Combination-Moisturization-Hyaluronic-Non-Comedogenic/dp/B0BDVG99J5/ref=zg_bs_g_1374408031_d_sccl_6/525-8789710-1731925?psc=1,2026-03-23T09:56:03.560213,1,30,True,budget,high
7,B00E96N6O8,"NIVEA Soft Light Moisturizer, 300 ml | Instant Hydration with Vitamin E & Jojoba Oil | Non-Greasy Cream for Face, Body and Hands | For Smooth, Healthy Skin",NIVEA,330.0,INR,4.4,52606,Body Care,Body Care,,"https://images-eu.ssl-images-amazon.com/images/I/51qu97DFTjL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Moisturizer-Non-Greasy-Vitamin-Instant-Hydration/dp/B00E96N6O8/ref=zg_bs_g_1374408031_d_sccl_7/525-8789710-1731925?psc=1,2026-03-23T09:56:03.561155,1,28,True,budget,high
8,B0CW1M65YC,"Minimalist 10% Niacinamide Serum with Zinc – Reduces Acne Marks, Controls Oil & Minimizes Pores | Vitamin B3 for Blemish-Free, Clear Skin | For Oily & Acne-Prone Skin (10 ml)",Minimalist,236.0,INR,4.2,23751,Body Care,Body Care,,"https://images-eu.ssl-images-amazon.com/images/I/61MSZ7e7NmL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Minimalist-Niacinamide-Blemishes-Balancing-Clarifying/dp/B0CW1M65YC/ref=zg_bs_g_1374408031_d_sccl_8/525-8789710-1731925?psc=1,2026-03-23T09:56:03.562088,1,30,True,budget,high
9,B09VPM5RP4,"Chemist At Play Exfoliating Body Wash 236ml | Removes Tan, Fights Body Acne, Strawberry Skin | 4% (Salicylic Acid, Vitamin E & Lactic Acid) | Gentle Exfoliating Shower Gel For Women & Men",Chemist,379.0,INR,4.2,9515,Body Care,Body Care,,"https://images-eu.ssl-images-amazon.com/images/I/51D62Rx9VjL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Chemist-Play-Exfoliating-Strawberry-Exfoliates/dp/B09VPM5RP4/ref=zg_bs_g_1374408031_d_sccl_9/525-8789710-1731925?psc=1,2026-03-23T09:56:03.563023,1,33,True,budget,high
10,B09G33GLP8,"Fiama Gel Bathing Bar Mega Celebration Pack, With 8 Unique Gel Bars, 1000g (125g - Pack of 8), with Skin Conditioners For Moisturized Skin, Soap for Women & Men, For All Skin Types",Fiama,352.0,INR,4.5,28810,Body Care,Body Care,,"https://images-eu.ssl-images-amazon.com/images/I/71JCB54kUeL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Fiama-Bathing-Celebration-Conditioners-Moisturized/dp/B09G33GLP8/ref=zg_bs_g_1374408031_d_sccl_10/525-8789710-1731925?psc=1,2026-03-23T09:56:03.563971,1,33,True,budget,high
