keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
skin,60,13.7,['Body Care'],4.2,19315.0,1
body,23,16.0,['Body Care'],4.31,23182.0,1
serum,21,15.4,['Body Care'],4.21,12527.0,1
acid,18,15.2,['Body Care'],4.15,14968.0,1
face,18,17.4,['Body Care'],4.19,15240.0,1
women,15,12.6,['Body Care'],4.15,21326.0,1
men,14,13.4,['Body Care'],4.13,19709.0,1
vitamin,13,10.8,['Body Care'],4.17,19077.0,1
dry,12,19.2,['Body Care'],4.37,23015.0,1
hydration,11,16.2,['Body Care'],4.35,23327.0,1
niacinamide,11,16.3,['Body Care'],4.18,15096.0,1
bath,10,17.8,['Body Care'],4.11,12447.0,1
soap,10,15.4,['Body Care'],4.25,17877.0,1
oil,10,14.0,['Body Care'],4.3,26839.0,1
lotion,9,19.0,['Body Care'],4.41,27947.0,1
moisturizer,9,14.2,['Body Care'],4.26,18363.0,1
for women,9,12.8,['Body Care'],4.24,22758.0,1
bar,9,19.8,['Body Care'],4.42,13355.0,1
face serum,8,15.9,['Body Care'],4.12,15125.0,1
soft,8,15.6,['Body Care'],4.34,30948.0,1
gel,8,14.0,['Body Care'],4.19,21885.0,1
all,8,10.0,['Body Care'],4.12,14720.0,1
glowing,7,8.4,['Body Care'],4.01,12899.0,1
reduces,7,14.1,['Body Care'],4.17,16061.0,1
germ,7,10.4,['Body Care'],4.43,48641.0,1
deep,7,19.3,['Body Care'],4.34,32430.0,1
moisture,7,17.4,['Body Care'],4.39,36458.0,1
dry skin,7,19.6,['Body Care'],4.39,30490.0,1
sensitive,7,15.0,['Body Care'],4.27,12621.0,1
acne,7,7.7,['Body Care'],4.13,13031.0,1
women men,7,12.0,['Body Care'],4.2,21868.0,1
pure,7,20.4,['Body Care'],4.37,27515.0,1
glycerin,7,19.0,['Body Care'],4.39,20787.0,1
glow,7,20.6,['Body Care'],4.33,22773.0,1
brightening,6,11.7,['Body Care'],4.2,12332.0,1
pack of,6,15.3,['Body Care'],4.23,14687.0,1
glowing skin,6,9.7,['Body Care'],4.0,13585.0,1
men women,6,12.3,['Body Care'],4.02,19178.0,1
protection,6,10.2,['Body Care'],4.37,39018.0,1
smooth,6,15.2,['Body Care'],4.2,32168.0,1
body lotion,6,16.3,['Body Care'],4.38,37579.0,1
sensitive skin,6,14.5,['Body Care'],4.27,13404.0,1
cream,6,10.0,['Body Care'],4.15,20609.0,1
formula,6,20.8,['Body Care'],4.28,22700.0,1
tan,6,18.3,['Body Care'],3.83,4672.0,1
for all,6,10.3,['Body Care'],4.2,16815.0,1
all skin,6,10.0,['Body Care'],4.2,16629.0,1
for dry,6,21.2,['Body Care'],4.37,19787.0,1
bar with,6,22.5,['Body Care'],4.42,6586.0,1
paraben,5,19.6,['Body Care'],4.18,13161.0,1
pigmentation,5,13.2,['Body Care'],4.14,14810.0,1
lactic,5,14.8,['Body Care'],4.24,9541.0,1
salicylic,5,12.8,['Body Care'],4.16,17708.0,1
fragrance,5,18.8,['Body Care'],4.32,14541.0,1
handwash,5,10.4,['Body Care'],4.4,43910.0,1
refill,5,10.4,['Body Care'],4.4,43910.0,1
handwash refill,5,10.4,['Body Care'],4.4,43910.0,1
germ protection,5,11.6,['Body Care'],4.42,44262.0,1
nivea,5,12.8,['Body Care'],4.38,35303.0,1
hyaluronic,5,12.0,['Body Care'],4.24,20101.0,1
minimalist,5,10.8,['Body Care'],4.14,16860.0,1
dark,5,13.8,['Body Care'],3.98,13123.0,1
serum for,5,9.6,['Body Care'],4.12,13060.0,1
barrier,5,13.6,['Body Care'],4.26,13436.0,1
normal,5,16.6,['Body Care'],4.3,9448.0,1
serum with,5,15.6,['Body Care'],4.16,11845.0,1
exfoliating,5,16.0,['Body Care'],4.02,6232.0,1
wash,5,18.0,['Body Care'],4.24,10262.0,1
body wash,5,18.0,['Body Care'],4.24,10262.0,1
types,5,9.0,['Body Care'],4.12,13225.0,1
spots,5,18.4,['Body Care'],3.96,17313.0,1
with niacinamide,5,14.6,['Body Care'],4.1,20441.0,1
lotion for,5,22.4,['Body Care'],4.4,29392.0,1
soap bar,5,20.0,['Body Care'],4.4,13776.0,1
soaps,4,7.2,['Body Care'],3.97,20958.0,1
paraben free,4,18.0,['Body Care'],4.17,16204.0,1
for glowing,4,7.8,['Body Care'],3.95,17102.0,1
for men,4,12.5,['Body Care'],4.03,26538.0,1
aha,4,14.0,['Body Care'],4.03,9526.0,1
underarm,4,16.5,['Body Care'],4.33,16966.0,1
tone,4,15.5,['Body Care'],4.15,10882.0,1
kojic,4,12.5,['Body Care'],3.97,12264.0,1
alcohol,4,16.5,['Body Care'],4.33,16966.0,1
kojic acid,4,12.5,['Body Care'],3.97,12264.0,1
dettol,4,14.8,['Body Care'],4.47,37766.0,1
liquid,4,11.5,['Body Care'],4.4,47854.0,1
liquid handwash,4,11.5,['Body Care'],4.4,47854.0,1
cream for,4,12.5,['Body Care'],4.25,24471.0,1
for face,4,16.5,['Body Care'],4.38,20453.0,1
oily,4,9.2,['Body Care'],4.12,12696.0,1
skin for,4,9.2,['Body Care'],4.23,17845.0,1
skin ml,4,19.2,['Body Care'],4.3,25019.0,1
original,4,15.8,['Body Care'],4.45,36230.0,1
fights,4,21.0,['Body Care'],4.17,9243.0,1
gentle,4,17.8,['Body Care'],4.35,18144.0,1
salicylic acid,4,15.5,['Body Care'],4.12,18736.0,1
lactic acid,4,18.0,['Body Care'],4.22,8526.0,1
skin types,4,9.5,['Body Care'],4.2,13289.0,1
dove,4,19.8,['Body Care'],4.42,13029.0,1
dark spots,4,16.0,['Body Care'],3.95,11126.0,1
lightweight,4,13.5,['Body Care'],4.15,9488.0,1
moisturizer with,4,17.8,['Body Care'],4.23,19169.0,1
face moisturizer,4,17.2,['Body Care'],4.23,17777.0,1
removal,4,16.5,['Body Care'],3.83,8395.0,1
bright,4,15.5,['Body Care'],3.9,15856.0,1
salt,4,23.5,['Body Care'],4.22,6016.0,1
ice,4,26.0,['Body Care'],4.0,199.0,1
glow with,4,16.0,['Body Care'],4.4,25929.0,1
butter,4,27.0,['Body Care'],4.5,4516.0,1
gms,3,11.0,['Body Care'],4.23,26491.0,1
skin brightening,3,3.0,['Body Care'],4.03,20508.0,1
soap for,3,13.7,['Body Care'],4.27,22539.0,1
roll-on,3,17.3,['Body Care'],4.3,11596.0,1
underarm roll-on,3,17.3,['Body Care'],4.3,11596.0,1
nourishing,3,9.0,['Body Care'],4.27,31577.0,1
with hyaluronic,3,13.7,['Body Care'],4.3,27576.0,1
hyaluronic acid,3,13.7,['Body Care'],4.3,27576.0,1
deep moisture,3,13.7,['Body Care'],4.4,44204.0,1
advanced,3,12.0,['Body Care'],4.3,41031.0,1
dullness,3,11.3,['Body Care'],4.17,12652.0,1
daily,3,16.7,['Body Care'],4.27,26894.0,1
vitamin serum,3,7.0,['Body Care'],4.07,12975.0,1
skin tone,3,20.0,['Body Care'],4.1,9975.0,1
repair,3,12.3,['Body Care'],4.23,11724.0,1
combination,3,6.7,['Body Care'],4.13,8853.0,1
ceramides,3,14.3,['Body Care'],4.37,28053.0,1
repairs,3,15.7,['Body Care'],4.27,13738.0,1
non-comedogenic,3,14.3,['Body Care'],4.27,11425.0,1
barrier repair,3,12.3,['Body Care'],4.23,11724.0,1
moisturizer for,3,12.3,['Body Care'],4.27,9441.0,1
for normal,3,17.0,['Body Care'],4.37,8400.0,1
with ceramides,3,14.3,['Body Care'],4.37,28053.0,1
light,3,17.3,['Body Care'],4.37,37401.0,1
instant,3,11.3,['Body Care'],4.03,25124.0,1
hands,3,10.7,['Body Care'],4.4,37572.0,1
hydration with,3,17.0,['Body Care'],4.37,29635.0,1
clear,3,8.3,['Body Care'],4.17,13921.0,1
exfoliating body,3,17.3,['Body Care'],4.2,6899.0,1
bathing,3,19.3,['Body Care'],4.47,10750.0,1
fades,3,20.7,['Body Care'],4.1,8749.0,1
ml for,3,16.0,['Body Care'],4.2,10737.0,1
skin with,3,16.7,['Body Care'],4.27,25472.0,1
pond's,3,20.7,['Body Care'],4.37,26079.0,1
super,3,19.3,['Body Care'],4.3,22403.0,1
oil free,3,19.3,['Body Care'],4.3,22403.0,1
nourish,3,21.7,['Body Care'],4.4,28859.0,1
deep nourish,3,21.7,['Body Care'],4.4,28859.0,1
epsom,3,23.3,['Body Care'],4.23,7032.0,1
refreshing,3,16.0,['Body Care'],4.37,18546.0,1
pain,3,23.3,['Body Care'],4.23,7032.0,1
dove serum,3,22.3,['Body Care'],4.43,7499.0,1
serum bar,3,22.3,['Body Care'],4.43,7499.0,1
dermatologist,3,23.7,['Body Care'],4.4,13596.0,1
recommended,3,23.7,['Body Care'],4.4,13596.0,1
dermatologist recommended,3,23.7,['Body Care'],4.4,13596.0,1
pears,3,20.3,['Body Care'],4.4,21013.0,1
glycerin soap,3,17.7,['Body Care'],4.37,21817.0,1
pure gentle,3,20.3,['Body Care'],4.4,21013.0,1
pure glycerin,3,20.3,['Body Care'],4.4,21013.0,1
for hydration,3,20.3,['Body Care'],4.4,21013.0,1
hydration glow,3,20.3,['Body Care'],4.4,21013.0,1
skin body,3,19.7,['Body Care'],4.43,18791.0,1
men ml,3,9.0,['Body Care'],4.1,11661.0,1
day,3,7.0,['Body Care'],4.13,18734.0,1
arbutin,3,15.3,['Body Care'],3.93,12597.0,1
aloe,3,15.0,['Body Care'],4.43,16047.0,1
ghar,2,13.5,['Body Care'],4.05,14302.0,1
sandalwood,2,12.0,['Body Care'],4.1,15032.0,1
saffron,2,13.5,['Body Care'],4.05,14302.0,1
magic,2,13.5,['Body Care'],4.05,14302.0,1
ghar soaps,2,13.5,['Body Care'],4.05,14302.0,1
soaps for,2,1.0,['Body Care'],3.9,27614.0,1
for bath,2,12.5,['Body Care'],4.05,15292.0,1
bodywise,2,9.0,['Body Care'],4.25,11886.0,1
bha,2,9.0,['Body Care'],4.25,11886.0,1
deodorant,2,16.0,['Body Care'],4.3,10690.0,1
mandelic,2,11.0,['Body Care'],4.3,13504.0,1
be bodywise,2,9.0,['Body Care'],4.25,11886.0,1
bodywise aha,2,9.0,['Body Care'],4.25,11886.0,1
aha bha,2,9.0,['Body Care'],4.25,11886.0,1
roll-on deodorant,2,16.0,['Body Care'],4.3,10690.0,1
skin reduces,2,9.0,['Body Care'],4.25,11402.0,1
fragrance ml,2,11.0,['Body Care'],4.3,13504.0,1
skincare,2,16.5,['Body Care'],4.5,29220.0,1
hand,2,6.0,['Body Care'],4.5,73818.0,1
wash-,2,6.0,['Body Care'],4.5,73818.0,1
better,2,6.0,['Body Care'],4.5,73818.0,1
dettol liquid,2,6.0,['Body Care'],4.5,73818.0,1
hand wash-,2,6.0,['Body Care'],4.5,73818.0,1
wash- ml,2,6.0,['Body Care'],4.5,73818.0,1
better germ,2,6.0,['Body Care'],4.5,73818.0,1
milk,2,12.5,['Body Care'],4.3,63872.0,1
care,2,4.0,['Body Care'],4.4,61213.0,1
almond,2,14.5,['Body Care'],4.35,40232.0,1
healthy,2,5.5,['Body Care'],4.4,56922.0,1
nourishing body,2,8.0,['Body Care'],4.4,45416.0,1
hr hydration,2,7.5,['Body Care'],4.2,32556.0,1
with almond,2,14.5,['Body Care'],4.35,40232.0,1
almond oil,2,14.5,['Body Care'],4.35,40232.0,1
treatment,2,3.5,['Body Care'],4.1,27658.0,1
