rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
1,9387779262,"My First Library: Boxset of 10 Board Books for Kids (Pack 1) | Includes ABC, Numbers, Shapes, Colors, Wild Animals, Farm Animals & Pets, Birds, Fruits, Vegetables & Transport | Early Learning Board Books for Babies, Toddlers & Preschoolers | Ages 0-3 Years",Hardcover,389.0,INR,4.5,89288,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/81p1nkYo4NL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_g_books_d_sccl_1/525-5410174-7085937?psc=1,2026-03-24T12:49:17.971141,1,43,True,budget,high
2,9394417850,Mathematics Class 10 by R.D. Sharma | CBSE Exam Preparation Book & MCQ Practice Guide | Dhanpat Rai Publications(2026-2027) New edition (R.d. Sharma Mathematics Series),Paperback,634.0,INR,4.2,36,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/818myWdI5pL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Mathematics-Preparation-Practice-Publications-2026-2027/dp/9394417850/ref=zg_bs_g_books_d_sccl_2/525-5410174-7085937?psc=1,2026-03-24T12:49:17.972425,1,25,True,mid,low
3,1847941834,"Atomic Habits: Tiny Changes, Remarkable Results",Paperback,559.0,INR,4.6,110073,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/817HaeblezL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_g_books_d_sccl_3/525-5410174-7085937?psc=1,2026-03-24T12:49:17.973748,1,6,True,mid,high
4,9364447670,"Indian Polity Courseware (English), 8e by M Laxmikanth for UPSC 2026 | 40+ Conceptual Videos | Colour eBook | Solved 13 Years Prelims PYQs (2013-25) | 12 Years Main Exam Questions | Practice Questions",Paperback,764.0,INR,4.6,860,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/81lErh+IhdL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Courseware-Laxmikanth-Conceptual-Well-structured-Insightful/dp/9364447670/ref=zg_bs_g_books_d_sccl_4/525-5410174-7085937?psc=1,2026-03-24T12:49:17.975110,1,34,True,mid,medium
5,9371534516,"PW NTA 15 NEET Rankers Test Series 2026 | Expert Verified & Curated | 15 NEET-Like Test Booklets, 15 OMR Sheets, Solution Booklet, Rank Predictor & Statewise Cutoff Guide | Neet Test Series 2026",Paperback,682.0,INR,4.3,222,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/81FShHXy+xL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Verified-NEET-Like-Booklets-Predictor-Statewise/dp/9371534516/ref=zg_bs_g_books_d_sccl_5/525-5410174-7085937?psc=1,2026-03-24T12:49:17.976374,1,34,True,mid,medium
6,178633089X,Ikigai: The Japanese secret to a long and happy life,Hardcover,315.0,INR,4.6,61589,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/81l3rZK4lnL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Ikigai-Japanese-Self-Help-Phenomenon-Meaningful/dp/178633089X/ref=zg_bs_g_books_d_sccl_6/525-5410174-7085937?psc=1,2026-03-24T12:49:17.978789,1,10,True,budget,high
7,9390166268,The Psychology of Money,Paperback,285.0,INR,4.5,79897,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/71XEsXS5RlL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_g_books_d_sccl_7/525-5410174-7085937?psc=1,2026-03-24T12:49:17.981256,1,4,True,budget,high
8,0241252083,"White Nights by Fyodor Dostoyevsky: A Timeless Story of Love, Longing & Solitude | Classic Fiction, Russian Literature, Romantic Novella | Penguin Little Black Classics",Paperback,111.0,INR,4.6,4504,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/41y8H3QmVqL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/White-Nights-Penguin-Little-Classics/dp/0241252083/ref=zg_bs_g_books_d_sccl_8/525-5410174-7085937?psc=1,2026-03-24T12:49:17.983801,1,25,True,budget,high
9,9368406030,"Arihant All in One Social Science Class 10 for CBSE Exams 2025-26 | Revised Edition as per latest syllabus I Mind Maps, CBQs, Focused Theory, Practice Exercises, Sample Papers",Paperback,433.0,INR,4.5,920,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/81pl02ANbfL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Arihant-Science-syllabus-Practice-Exercises/dp/9368406030/ref=zg_bs_g_books_d_sccl_9/525-5410174-7085937?psc=1,2026-03-24T12:49:17.986280,1,29,True,budget,medium
10,1529157463,Project Hail Mary: The Sunday Times bestseller from the author of The Martian,Paperback,359.0,INR,4.7,198520,Books,Books,,"https://images-eu.ssl-images-amazon.com/images/I/81Yc3Urj0+L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Project-Hail-Mary-bestselling-Martian/dp/1529157463/ref=zg_bs_g_books_d_sccl_10/525-5410174-7085937?psc=1,2026-03-24T12:49:17.988909,1,13,True,budget,high
