keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
men,40,13.6,['Clothing Women'],4.06,4331.0,1
socks,39,15.7,['Clothing Women'],4.08,6495.0,1
for men,33,14.9,['Clothing Women'],4.04,4054.0,1
cotton,32,15.6,['Clothing Women'],4.09,4195.0,1
pack of,28,15.9,['Clothing Women'],4.1,4877.0,1
belt,21,15.0,['Clothing Women'],4.14,3350.0,1
length,20,16.8,['Clothing Women'],4.1,6684.0,1
ankle,19,11.9,['Clothing Women'],4.05,6529.0,1
cap,19,18.6,['Clothing Women'],4.13,1796.0,1
women,17,15.5,['Clothing Women'],4.04,3707.0,1
size,16,17.2,['Clothing Women'],4.06,6345.0,1
men's,16,18.7,['Clothing Women'],4.1,4009.0,1
socks for,14,13.5,['Clothing Women'],4.05,6121.0,1
free size,13,16.8,['Clothing Women'],4.07,7256.0,1
adjustable,13,19.2,['Clothing Women'],4.08,2859.0,1
cap for,13,19.3,['Clothing Women'],4.12,1524.0,1
ankle length,12,11.2,['Clothing Women'],4.08,7358.0,1
leather,12,14.3,['Clothing Women'],4.08,4071.0,1
belt for,12,15.3,['Clothing Women'],4.04,2642.0,1
leather belt,11,14.5,['Clothing Women'],4.06,4261.0,1
length socks,10,10.9,['Clothing Women'],4.13,5563.0,1
unisex,10,17.0,['Clothing Women'],4.07,2398.0,1
men women,10,14.8,['Clothing Women'],4.01,3157.0,1
breathable,10,14.3,['Clothing Women'],4.06,3064.0,1
sports,9,15.1,['Clothing Women'],4.03,2592.0,1
caps,9,19.6,['Clothing Women'],4.01,1080.0,1
casual,9,16.8,['Clothing Women'],4.03,4009.0,1
socks pack,8,18.8,['Clothing Women'],4.12,4209.0,1
cotton socks,7,23.0,['Clothing Women'],4.03,7876.0,1
formal,7,17.6,['Clothing Women'],3.99,3766.0,1
winter,7,12.4,['Clothing Women'],4.29,4217.0,1
ankle socks,6,13.8,['Clothing Women'],4.0,5162.0,1
genuine,6,15.7,['Clothing Women'],4.05,3313.0,1
wear,6,15.0,['Clothing Women'],4.25,2526.0,1
genuine leather,6,15.7,['Clothing Women'],4.05,3313.0,1
formal casual,6,16.0,['Clothing Women'],3.98,3730.0,1
pairs,5,9.0,['Clothing Women'],4.08,4946.0,1
solid,5,12.8,['Clothing Women'],4.1,13855.0,1
bamboo,5,17.4,['Clothing Women'],4.08,2990.0,1
zoro,5,15.6,['Clothing Women'],3.9,2037.0,1
combo,5,18.0,['Clothing Women'],4.06,4515.0,1
head,5,6.6,['Clothing Women'],4.0,3037.0,1
swagr,4,8.8,['Clothing Women'],3.97,3429.0,1
assorted,4,7.2,['Clothing Women'],4.07,5750.0,1
cotton ankle,4,8.2,['Clothing Women'],4.05,5897.0,1
men and,4,13.5,['Clothing Women'],4.0,7152.0,1
and women,4,13.5,['Clothing Women'],4.0,7152.0,1
length cotton,4,17.8,['Clothing Women'],4.05,9537.0,1
of free,4,17.5,['Clothing Women'],4.0,6036.0,1
heelium,4,16.2,['Clothing Women'],4.07,2493.0,1
heelium bamboo,4,16.2,['Clothing Women'],4.07,2493.0,1
mens,4,18.5,['Clothing Women'],4.15,1104.0,1
soft,4,17.8,['Clothing Women'],4.12,2400.0,1
baseball,4,21.8,['Clothing Women'],4.0,1111.0,1
unisex cap,4,21.8,['Clothing Women'],4.0,1111.0,1
men's cotton,4,21.8,['Clothing Women'],4.28,2172.0,1
navysport,4,24.5,['Clothing Women'],4.05,14789.0,1
cushion,4,19.2,['Clothing Women'],4.07,8397.0,1
gym,4,11.5,['Clothing Women'],4.05,3192.0,1
summer,4,19.2,['Clothing Women'],3.97,2970.0,1
cotton men,3,8.3,['Clothing Women'],4.13,2660.0,1
solid ankle,3,13.3,['Clothing Women'],4.07,19502.0,1
blend,3,9.0,['Clothing Women'],4.03,2822.0,1
multicolor,3,9.7,['Clothing Women'],4.03,5725.0,1
odour-free,3,14.7,['Clothing Women'],4.03,3234.0,1
padded,3,18.0,['Clothing Women'],4.1,4350.0,1
base,3,14.3,['Clothing Women'],4.17,3298.0,1
softer,3,14.7,['Clothing Women'],4.03,3234.0,1
than,3,14.7,['Clothing Women'],4.03,3234.0,1
softer than,3,14.7,['Clothing Women'],4.03,3234.0,1
peter,3,17.3,['Clothing Women'],4.17,3215.0,1
england,3,17.3,['Clothing Women'],4.17,3215.0,1
peter england,3,17.3,['Clothing Women'],4.17,3215.0,1
terry,3,8.7,['Clothing Women'],4.2,6199.0,1
lock,3,10.7,['Clothing Women'],4.3,4452.0,1
socks free,3,13.0,['Clothing Women'],4.03,14853.0,1
supersox,3,18.7,['Clothing Women'],4.1,3548.0,1
man,3,13.0,['Clothing Women'],4.07,4647.0,1
for man,3,13.0,['Clothing Women'],4.07,4647.0,1
size pack,3,13.3,['Clothing Women'],4.13,15271.0,1
branded,3,12.3,['Clothing Women'],4.1,1935.0,1
zoro men's,3,22.0,['Clothing Women'],3.7,2572.0,1
adjustable unisex,3,22.7,['Clothing Women'],3.93,939.0,1
cushion cotton,3,24.3,['Clothing Women'],4.07,8828.0,1
crew,3,25.7,['Clothing Women'],4.03,5317.0,1
autolock,3,20.0,['Clothing Women'],4.0,6216.0,1
fit,3,20.0,['Clothing Women'],4.0,6216.0,1
inches,3,14.7,['Clothing Women'],3.97,3013.0,1
men formal,3,18.0,['Clothing Women'],3.8,2302.0,1
absorbent,3,22.0,['Clothing Women'],4.07,1624.0,1
hats,3,18.3,['Clothing Women'],3.97,1106.0,1
boldfit,3,13.0,['Clothing Women'],4.17,1969.0,1
running,3,9.7,['Clothing Women'],4.1,3690.0,1
buckle,3,14.0,['Clothing Women'],4.17,5159.0,1
micro,3,21.3,['Clothing Women'],4.17,8607.0,1
beanie,3,12.0,['Clothing Women'],4.17,3672.0,1
handkerchief,3,13.7,['Clothing Women'],4.27,1304.0,1
woolen,3,13.7,['Clothing Women'],4.37,3668.0,1
for women,3,20.3,['Clothing Women'],4.2,948.0,1
strap,3,20.7,['Clothing Women'],4.2,711.0,1
shirt,3,21.3,['Clothing Women'],4.2,701.0,1
elastic,3,21.3,['Clothing Women'],4.2,701.0,1
tucker,3,21.3,['Clothing Women'],4.2,701.0,1
tucker belt,3,21.3,['Clothing Women'],4.2,701.0,1
stockings,3,30.0,['Clothing Women'],4.1,12469.0,1
swagr pairs,2,5.0,['Clothing Women'],4.05,3797.0,1
pairs sports,2,5.5,['Clothing Women'],4.05,4587.0,1
of assorted,2,5.0,['Clothing Women'],4.05,3797.0,1
sjeware,2,7.5,['Clothing Women'],4.1,12918.0,1
women solid,2,7.5,['Clothing Women'],4.1,12918.0,1
