rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
1,B0DGX12XXV,"SWAGR 12 Pairs Sports Cotton Ankle Length Socks for Men, Pack of 12., Assorted",SWAGR,176.0,INR,4.1,4406,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/81biKixsaDL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/SWAGR-Sports-Cotton-Length-Assorted/dp/B0DGX12XXV/ref=zg_bs_g_1968025031_d_sccl_1/520-8057880-3717024?psc=1,2026-03-24T12:53:54.308367,1,14,True,budget,high
2,B0C3DH4XPJ,"SJeware Unisex Cotton Men And Women Solid Ankle Length Socks (Pack Of 5) Sjw-2013, Assorted",SJeware,117.0,INR,4.1,3587,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/81XgZbmqFOL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/SJeware-Women-Solid-Length-SJW-2013/dp/B0C3DH4XPJ/ref=zg_bs_g_1968025031_d_sccl_2/520-8057880-3717024?psc=1,2026-03-24T12:53:54.309372,1,15,True,budget,high
3,B0BWPGC2PR,"SWAGR Ankle Socks for Men & Women, Multicolor, Pack of 5, Free Size",SWAGR,99.0,INR,3.8,4828,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/91Wl5xcJ+GL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/SWAGR-Pairs-Solid-Ankle-Multicolor/dp/B0BWPGC2PR/ref=zg_bs_g_1968025031_d_sccl_3/520-8057880-3717024?psc=1,2026-03-24T12:53:54.311109,1,13,True,budget,high
4,B09RWL4VQK,Adidas Men Ankle Length Cotton Blend Socks Pack of 1,Adidas,290.0,INR,4.2,3688,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/71V4YnALSxL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Adidas-Original-Ankle-Cotton-Socks/dp/B09RWL4VQK/ref=zg_bs_g_1968025031_d_sccl_4/520-8057880-3717024?psc=1,2026-03-24T12:53:54.312865,1,10,True,budget,high
5,B0DC14CYKR,"SWAGR 12 Pairs Solid Cotton Ankle Length Socks for Men Women, Pack of 12., Assorted",SWAGR,169.0,INR,4.0,3218,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/819J-5RMtHL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/SWAGR-Pairs-Solid-Cotton-Ankle/dp/B0DC14CYKR/ref=zg_bs_g_1968025031_d_sccl_5/520-8057880-3717024?psc=1,2026-03-24T12:53:54.314636,1,15,True,budget,high
6,B093C3DNXH,HEELIUM Bamboo Ankle Socks for Men | Odour-Free and Breathable | Padded Base and Anti-bacterial | 3X Softer Than Regular Socks,HEELIUM,709.0,INR,4.1,6849,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/81lTp636YqS._AC_UL300_SR300,200_.jpg",https://www.amazon.in/HEELIUM-Odour-Free-Breathable-Anti-Bacterial-Multicolor/dp/B093C3DNXH/ref=zg_bs_g_1968025031_d_sccl_6/520-8057880-3717024?psc=1,2026-03-24T12:53:54.316490,1,21,True,mid,high
7,B09X5RLGY5,Jockey 7036 Men's Compact Cotton Terry Ankle Length Socks With Stay Fresh Treatment (Pack of 3),Jockey,419.0,INR,4.2,3940,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/81DsZMMFr1L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Jockey-Length-7036_Black-Midgrey-Mel_FREE/dp/B09X5RLGY5/ref=zg_bs_g_1968025031_d_sccl_7/520-8057880-3717024?psc=1,2026-03-24T12:53:54.318290,1,16,True,budget,high
8,B09DCKXK3M,Labnoft Men's Auto Lock PU Leather Belt,Labnoft,699.0,INR,4.3,9398,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/61aRAdQk9wL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Labnoft-Mens-Auto-Leather-Black/dp/B09DCKXK3M/ref=zg_bs_g_1968025031_d_sccl_8/520-8057880-3717024?psc=1,2026-03-24T12:53:54.320129,1,7,True,mid,high
9,B0CTQ4RSMB,Fitness Mantra® 12 Pairs Sports Ankle Cotton Socks | Free Size| Breathable| Daily Use| Multicolor| 12 Pairs|,Fitness,199.0,INR,4.0,4803,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/81SEVBzTWhL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Fitness-Mantra%C2%AE-Sports-Breathable-Multicolor/dp/B0CTQ4RSMB/ref=zg_bs_g_1968025031_d_sccl_9/520-8057880-3717024?psc=1,2026-03-24T12:53:54.321578,1,17,True,budget,high
10,B08R8X6QB2,Peter England Men Cotton Ankle Length Socks,Peter,349.0,INR,4.0,4165,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/51P0U7RknsL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Peter-England-Cotton-Ankle-length/dp/B08R8X6QB2/ref=zg_bs_g_1968025031_d_sccl_10/520-8057880-3717024?psc=1,2026-03-24T12:53:54.322727,1,7,True,budget,high
11,B09W5S4ZHL,Supersox Ankle Length Socks for Man | Durable Breathable Cotton | Anti-Odor & Antibacterial | Multi Colour | Free Size | Pack of 3,Supersox,283.0,INR,4.3,6046,Clothing Women,Clothing Women,,"https://images-eu.ssl-images-amazon.com/images/I/81JrY3gvUgL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Supersox-Melange-Breathable-Anti-Odor-Antibacterial/dp/B09W5S4ZHL/ref=zg_bs_g_1968025031_d_sccl_11/520-8057880-3717024?psc=1,2026-03-24T12:53:54.323908,1,24,True,budget,high
