keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
fast,16,13.8,['Electronics'],4.09,36277.0,1
battery,15,14.8,['Electronics'],4.12,19692.0,1
bluetooth,15,19.7,['Electronics'],4.01,35929.0,1
charging,14,13.1,['Electronics'],4.14,21858.0,1
wireless,14,15.5,['Electronics'],4.01,40878.0,1
earbuds,13,14.7,['Electronics'],4.03,39157.0,1
cable,13,9.1,['Electronics'],4.3,18633.0,1
samsung,13,12.8,['Electronics'],4.18,14468.0,1
mic,12,14.8,['Electronics'],4.0,69373.0,1
fast charging,12,13.0,['Electronics'],4.12,25414.0,1
galaxy,12,12.9,['Electronics'],4.18,14631.0,1
type,11,7.8,['Electronics'],4.1,29543.0,1
mah,11,12.0,['Electronics'],4.18,12229.0,1
samsung galaxy,11,13.4,['Electronics'],4.16,14279.0,1
pro,11,19.0,['Electronics'],4.22,33794.0,1
smart,11,17.3,['Electronics'],4.05,35188.0,1
ear,10,14.6,['Electronics'],3.96,34014.0,1
iphone,10,17.4,['Electronics'],4.24,11319.0,1
buds,9,14.8,['Electronics'],4.04,27166.0,1
mobile,9,20.6,['Electronics'],4.05,10965.0,1
hrs,9,16.2,['Electronics'],4.08,60567.0,1
case,9,16.9,['Electronics'],4.2,18127.0,1
charge,8,11.2,['Electronics'],3.99,71181.0,1
storage,8,13.6,['Electronics'],4.08,3250.0,1
with mic,8,17.2,['Electronics'],3.95,92476.0,1
display,8,17.4,['Electronics'],4.07,26418.0,1
tws,7,16.6,['Electronics'],4.0,27348.0,1
ram,7,12.9,['Electronics'],4.16,2938.0,1
gb ram,7,12.9,['Electronics'],4.16,2938.0,1
ram gb,7,12.9,['Electronics'],4.16,2938.0,1
gb storage,7,12.9,['Electronics'],4.16,2938.0,1
gen,7,15.1,['Electronics'],4.13,15930.0,1
boat,7,16.3,['Electronics'],3.93,101178.0,1
ultra,7,16.7,['Electronics'],4.14,16610.0,1
output,7,17.0,['Electronics'],4.1,33677.0,1
oneplus,6,6.3,['Electronics'],4.27,50666.0,1
playback,6,12.7,['Electronics'],4.05,68287.0,1
low,6,13.8,['Electronics'],4.02,57270.0,1
latency,6,13.8,['Electronics'],4.02,57270.0,1
low latency,6,13.8,['Electronics'],4.02,57270.0,1
without,6,14.8,['Electronics'],4.16,5410.0,1
charger,6,18.0,['Electronics'],4.14,4250.0,1
earphones,6,14.8,['Electronics'],3.95,46179.0,1
in ear,6,13.0,['Electronics'],4.0,35480.0,1
back,6,14.0,['Electronics'],4.17,11536.0,1
cover,6,17.7,['Electronics'],4.22,13214.0,1
inch,6,20.2,['Electronics'],4.05,14916.0,1
camera,6,18.3,['Electronics'],4.07,3335.0,1
watch,6,19.7,['Electronics'],4.02,61434.0,1
tripod,6,25.2,['Electronics'],4.08,17730.0,1
without charger,5,16.2,['Electronics'],4.1,2790.0,1
dual,5,12.2,['Electronics'],4.02,37145.0,1
app,5,15.0,['Electronics'],3.9,10515.0,1
active,5,13.6,['Electronics'],3.98,53445.0,1
portronics,5,13.6,['Electronics'],4.12,7617.0,1
google,5,16.4,['Electronics'],4.14,12239.0,1
series,5,7.8,['Electronics'],4.28,8127.0,1
case for,5,13.6,['Electronics'],4.2,10317.0,1
upto,5,19.0,['Electronics'],4.24,11922.0,1
glass,5,19.2,['Electronics'],4.08,20823.0,1
gorilla,5,19.2,['Electronics'],4.08,20823.0,1
realme,5,19.8,['Electronics'],4.2,10715.0,1
calling,5,20.8,['Electronics'],3.94,42302.0,1
laptop,5,23.2,['Electronics'],4.24,15922.0,1
compatible,5,19.0,['Electronics'],4.24,10423.0,1
holder,5,21.0,['Electronics'],4.06,17259.0,1
clear,4,11.0,['Electronics'],4.2,21146.0,1
audio,4,9.0,['Electronics'],4.15,73163.0,1
smartphones,4,10.2,['Electronics'],4.08,25561.0,1
dimensity,4,12.2,['Electronics'],4.23,3566.0,1
mah battery,4,5.5,['Electronics'],4.4,2927.0,1
