rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
1,B00PNQYFFM,"Lay's American Style Potato Chips - Cream & Onion, 48g/52.9g",1 offer from₹18.00,18.0,INR,4.4,20843,Food,Food,,"https://images-eu.ssl-images-amazon.com/images/I/711vAJ8fWlL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Lays-American-Style-Cream-Onion/dp/B00PNQYFFM/ref=zg_bs_g_grocery_d_sccl_1/521-7349009-9081429?psc=1,2026-03-24T13:12:55.502345,1,10,True,budget,high
2,B07575FPC3,"Tata Salt 1 Kg, Free Flowing and Iodised Namak, Vacuum Evaporated, Salt in Fresh",1 offer from₹26.00,26.0,INR,4.5,80220,Food,Food,,"https://images-eu.ssl-images-amazon.com/images/I/614mm2hYHyL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Flowing-Iodised-Namak-Vacuum-Evaporated/dp/B07575FPC3/ref=zg_bs_g_grocery_d_sccl_2/521-7349009-9081429?psc=1,2026-03-24T13:12:55.503560,1,14,True,budget,high
3,B0757631XR,"Fortune Premium Kachi Ghani Pure Mustard Oil, 910G PET Bottle (Weight May Vary)",Fortune,285.0,INR,4.4,36768,Food,Food,,"https://images-eu.ssl-images-amazon.com/images/I/51Hxuw8kJfL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Fortune-Kachi-Ghani-Pure-Mustard/dp/B0757631XR/ref=zg_bs_g_grocery_d_sccl_3/521-7349009-9081429?psc=1,2026-03-24T13:12:55.504664,1,13,True,budget,high
4,B074N7VHV4,"Tata Sampann Unpolished Toor Dal/Arhar Dal, 1kg",Tata,162.0,INR,4.5,31205,Food,Food,,"https://images-eu.ssl-images-amazon.com/images/I/61HA0lc+dHL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Tata-Sampann-Pulses-Toor-Dal/dp/B074N7VHV4/ref=zg_bs_g_grocery_d_sccl_4/521-7349009-9081429?psc=1,2026-03-24T13:12:55.505764,1,7,True,budget,high
5,B00U7GDO14,"MAGGI 2-Minute Instant Noodles, Favourite Masala Taste, Masala Noodles With Goodness Of Iron, Made With Choicest Quality Spices, 420g/450g Pouch (weight may vary)",MAGGI,88.0,INR,4.4,28098,Food,Food,,"https://images-eu.ssl-images-amazon.com/images/I/71g6dstxZNL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/2-minute-Instant-Goodness-Choicest-Favourite/dp/B00U7GDO14/ref=zg_bs_g_grocery_d_sccl_5/521-7349009-9081429?psc=1,2026-03-24T13:12:55.507251,1,23,True,budget,high
6,B0192UNUGO,"MAGGI 2-Minute Instant Noodles, Favourite Masala Taste, Masala Noodles With Goodness Of Iron, Made With Choicest Quality Spices, 70g/75g Pouch (weight may vary)",3 offers from₹14.00,14.0,INR,4.4,7878,Food,Food,,"https://images-eu.ssl-images-amazon.com/images/I/71lXtu5Z8EL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/MAGGI-2-minute-Goodness-Choicest-Favourite/dp/B0192UNUGO/ref=zg_bs_g_grocery_d_sccl_6/521-7349009-9081429?psc=1,2026-03-24T13:12:55.508873,1,23,True,budget,high
7,B08WZQ1SN3,"Fortune Sugar, 1 kg",Fortune,125.0,INR,4.5,6201,Food,Food,,"https://images-eu.ssl-images-amazon.com/images/I/81M6T+PF-iL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/FORTUNE-Fortune-Sugar-1-kg/dp/B08WZQ1SN3/ref=zg_bs_g_grocery_d_sccl_7/521-7349009-9081429?psc=1,2026-03-24T13:12:55.509989,1,4,True,budget,high
8,B00NYZTGEO,"Fortune Sunlite Refined Sunflower Oil, 870gm/800gm Pouch (Weight May Vary)",Fortune,285.0,INR,4.4,45053,Food,Food,,"https://images-eu.ssl-images-amazon.com/images/I/81FbVYZJYyL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Fortune-Sunlite-Refined-Sunflower-Oil/dp/B00NYZTGEO/ref=zg_bs_g_grocery_d_sccl_8/521-7349009-9081429?psc=1,2026-03-24T13:12:55.511092,1,10,True,budget,high
9,B0DMWLVM3N,"The Health Factory Zero Maida 100% Whole Wheat Bread 350g | Clean Label, Not Brown",The,,INR,4.4,1450,Food,Food,,"https://images-eu.ssl-images-amazon.com/images/I/61+ZxwXfl2L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Health-Factory-Zero-Maida-Bread/dp/B0DMWLVM3N/ref=zg_bs_g_grocery_d_sccl_9/521-7349009-9081429?psc=1,2026-03-24T13:12:55.512392,1,15,False,,high
10,B07533TMV9,"Sprite Soft Drink PET Bottle, 750 ml",Sprite,33.0,INR,4.4,5809,Food,Food,,"https://images-eu.ssl-images-amazon.com/images/I/71doy6em4jL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Sprite-750ml/dp/B07533TMV9/ref=zg_bs_g_grocery_d_sccl_10/521-7349009-9081429?psc=1,2026-03-24T13:12:55.513495,1,7,True,budget,high
11,B00TX95XRE,"Parry's White Label Sugar, 1kg",1 offer from₹52.00,52.0,INR,4.4,22739,Food,Food,,"https://images-eu.ssl-images-amazon.com/images/I/61+Zq4NHMNL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Parrys-White-Label-Sugar-Pouch/dp/B00TX95XRE/ref=zg_bs_g_grocery_d_sccl_11/521-7349009-9081429?psc=1,2026-03-24T13:12:55.514818,1,5,True,budget,high
12,B06XH9QPX2,"Fortune Premium Kachi Ghani Pure Mustard Oil, 1 ltr pouch",Fortune,199.0,INR,4.4,37812,Food,Food,,"https://images-eu.ssl-images-amazon.com/images/I/61amF3+1wWL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Fortune-Kachi-Ghani-Pure-Mustard/dp/B06XH9QPX2/ref=zg_bs_g_grocery_d_sccl_12/521-7349009-9081429?psc=1,2026-03-24T13:12:55.515913,1,10,True,budget,high
