keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
hair,130,17.0,['Hair Care'],4.22,16507.0,1
shampoo,26,17.1,['Hair Care'],4.2,21808.0,1
women,20,17.0,['Hair Care'],4.2,17957.0,1
fall,20,19.6,['Hair Care'],4.25,24468.0,1
men,19,16.7,['Hair Care'],4.22,18167.0,1
oil,18,13.9,['Hair Care'],4.32,23737.0,1
growth,17,17.4,['Hair Care'],4.25,14137.0,1
hair growth,17,17.4,['Hair Care'],4.25,14137.0,1
hair fall,17,18.9,['Hair Care'],4.26,27189.0,1
rosemary,12,18.2,['Hair Care'],4.26,6014.0,1
shampoo for,12,18.1,['Hair Care'],4.21,27716.0,1
paris,11,14.5,['Hair Care'],4.27,15006.0,1
natural,11,19.5,['Hair Care'],4.19,8878.0,1
all,11,17.0,['Hair Care'],4.25,11730.0,1
all hair,11,17.0,['Hair Care'],4.25,11730.0,1
for men,11,16.3,['Hair Care'],4.24,23135.0,1
men women,11,16.3,['Hair Care'],4.24,23135.0,1
types,10,16.0,['Hair Care'],4.24,12812.0,1
hair types,10,16.0,['Hair Care'],4.24,12812.0,1
dry,10,18.1,['Hair Care'],4.26,17667.0,1
control,10,17.8,['Hair Care'],4.19,29422.0,1
for hair,10,19.0,['Hair Care'],4.22,12781.0,1
for all,9,16.3,['Hair Care'],4.19,13954.0,1
serum,9,18.1,['Hair Care'],4.21,17179.0,1
scalp,8,15.9,['Hair Care'],4.21,9064.0,1
for women,8,18.2,['Hair Care'],4.15,12683.0,1
shine,8,20.2,['Hair Care'],4.3,10889.0,1
coconut,8,12.2,['Hair Care'],4.3,22109.0,1
spray,8,16.8,['Hair Care'],4.16,2222.0,1
colour,7,13.1,['Hair Care'],4.1,10609.0,1
acid,7,16.1,['Hair Care'],4.26,10150.0,1
smooth,7,11.7,['Hair Care'],4.21,16900.0,1
women men,7,15.4,['Hair Care'],4.19,12386.0,1
heat,7,16.6,['Hair Care'],4.1,27132.0,1
for dry,7,17.3,['Hair Care'],4.26,21306.0,1
paraben,7,17.9,['Hair Care'],4.2,14755.0,1
fall control,7,19.4,['Hair Care'],4.2,31778.0,1
l'or,6,14.8,['Hair Care'],4.2,15533.0,1
l'or al,6,14.8,['Hair Care'],4.2,15533.0,1
hair colour,6,15.2,['Hair Care'],4.07,11242.0,1
l'oreal,6,16.2,['Hair Care'],4.28,16868.0,1
l'oreal paris,6,16.2,['Hair Care'],4.28,16868.0,1
redensyl,6,17.2,['Hair Care'],4.25,4466.0,1
gloss,6,22.3,['Hair Care'],4.3,11685.0,1
color,6,13.3,['Hair Care'],4.08,17206.0,1
hair color,6,13.3,['Hair Care'],4.08,17206.0,1
parachute,6,15.2,['Hair Care'],4.33,16429.0,1
hair with,6,16.0,['Hair Care'],4.2,11426.0,1
spray for,6,17.3,['Hair Care'],4.18,1899.0,1
hair oil,6,12.5,['Hair Care'],4.32,14861.0,1
brown,5,10.2,['Hair Care'],4.12,13910.0,1
al paris,5,12.6,['Hair Care'],4.26,12772.0,1
bare,5,11.8,['Hair Care'],4.18,4744.0,1
anatomy,5,11.8,['Hair Care'],4.18,4744.0,1
strong,5,12.0,['Hair Care'],4.16,16222.0,1
bare anatomy,5,11.8,['Hair Care'],4.18,4744.0,1
moisture,5,10.0,['Hair Care'],4.3,16504.0,1
conditioner,5,14.6,['Hair Care'],4.3,11639.0,1
powered,5,14.6,['Hair Care'],4.34,13691.0,1
powered by,5,14.6,['Hair Care'],4.34,13691.0,1
anagain,5,16.6,['Hair Care'],4.32,5328.0,1
redensyl anagain,5,16.6,['Hair Care'],4.32,5328.0,1
hair for,5,20.2,['Hair Care'],4.18,22882.0,1
glycolic,5,25.0,['Hair Care'],4.32,7472.0,1
coconut oil,5,11.2,['Hair Care'],4.32,33510.0,1
damaged,5,17.6,['Hair Care'],4.22,24234.0,1
damaged hair,5,17.6,['Hair Care'],4.22,24234.0,1
hair ml,5,16.2,['Hair Care'],4.14,9449.0,1
keratin,5,14.6,['Hair Care'],4.22,44173.0,1
paraben free,5,16.0,['Hair Care'],4.24,16581.0,1
water,5,19.2,['Hair Care'],4.44,1295.0,1
strengthens,5,21.4,['Hair Care'],4.26,13538.0,1
long,5,16.4,['Hair Care'],4.18,10594.0,1
types ml,5,21.2,['Hair Care'],4.24,5222.0,1
dandruff,4,8.2,['Hair Care'],4.05,16974.0,1
hyaluron,4,11.5,['Hair Care'],4.28,11601.0,1
acid for,4,17.0,['Hair Care'],4.32,10500.0,1
hairfall,4,9.8,['Hair Care'],4.2,12291.0,1
growth serum,4,14.8,['Hair Care'],4.2,6594.0,1
protection,4,12.0,['Hair Care'],4.08,13340.0,1
shampoo ml,4,14.2,['Hair Care'],4.25,25895.0,1
oil ml,4,13.0,['Hair Care'],4.28,30540.0,1
rice,4,16.8,['Hair Care'],4.3,3431.0,1
organic,4,20.2,['Hair Care'],4.08,14412.0,1
healthy,4,15.8,['Hair Care'],4.15,20540.0,1
