rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
1,B006QHB88O,"L'Oréal Paris Permanent Hair Colour, Radiant At-Home Hair Colour with up to 100% Grey Coverage, Pro-Keratin, Up to 8 Weeks of Colour, Excellence Crème, 3 Natural Darkest Brown, 72ml+100g",L'Oréal,400.0,INR,4.3,6819,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/71bO6mMzFGL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/LOreal-Paris-Excellence-Natural-Darkest/dp/B006QHB88O/ref=zg_bs_g_9851597031_d_sccl_1/522-7345175-6782152?psc=1,2026-03-24T12:56:18.390870,1,29,True,budget,high
2,B0F5BLYYCN,"Bare Anatomy Anti-Dandruff Shampoo | Up To 100% Dandruff Reduction | ZPTO-Free | pH 5.3 | Salicylic Acid, Piroctone Olamine & Biotin | Non-Drying Formula | For Strong, Smooth Hair | Unisex | 100 ml",Bare,239.0,INR,4.1,13449,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/41aY2ihjX6L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Bare-Anatomy-Dandruff-Strengthens-Salicylic/dp/B0F5BLYYCN/ref=zg_bs_g_9851597031_d_sccl_2/522-7345175-6782152?psc=1,2026-03-24T12:56:18.391825,1,35,True,budget,high
3,B0B573QW21,WishCare Hair Growth Serum For Scalp | 94% Saw New Hair Growth | Redensyl & Rosemary Oil | 100% Saw Hairfall Reduction | In-Vivo Tested | For Men & Women | 30ml,WishCare,687.0,INR,4.1,11271,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/61PA2P4KDCL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/WishCare-Hair-Growth-Serum-Concentrate/dp/B0B573QW21/ref=zg_bs_g_9851597031_d_sccl_3/522-7345175-6782152?psc=1,2026-03-24T12:56:18.392767,1,32,True,mid,high
4,B0BLM3Q44F,Scalpe Pro Daily Anti-Dandruff Shampoo | Removes Dandruff from Source | Prevents Itching & Irritation | Scalpe Science | Climbazole Formulation | Dermatologically Tested | For Women & Men | 200ml,Scalpe,304.0,INR,4.1,27623,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/713115KY7gL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Scalpe-Pro-dandruff-Shampoo-200ml/dp/B0BLM3Q44F/ref=zg_bs_g_9851597031_d_sccl_4/522-7345175-6782152?psc=1,2026-03-24T12:56:18.393694,1,31,True,budget,high
5,B08FW1GJ4F,"L'Oreal Paris Extraordinary Oil Hair Serum Powered by Floral Oils for All Hair Types, Volume- 100 ml, Makes hair frizz-free, stronger, shiny and provides UV and Heat Protection, Lightweight Formula",L'Oreal,437.4,INR,4.3,43780,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/51GhOWodz1L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/LOreal-Paris-Extraordinary-Serum-Women/dp/B08FW1GJ4F/ref=zg_bs_g_9851597031_d_sccl_5/522-7345175-6782152?psc=1,2026-03-24T12:56:18.394651,1,30,True,budget,high
6,B0B6Y3FNV7,"L'Oreal Paris Fresh Hyaluron Moisture 72HR Moisture Sealing Conditioner Powered By Hyaluronic Acid, For Frizz-Free, Hydrated And Bouncy Hair Full Of Life For All Hair Types | 175 Millilitres",L'Oreal,255.0,INR,4.3,20755,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/511fPrnY+bL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Paris-Moisture-Conditioner-Hyaluronic-Dehydrated/dp/B0B6Y3FNV7/ref=zg_bs_g_9851597031_d_sccl_6/522-7345175-6782152?psc=1,2026-03-24T12:56:18.395643,1,29,True,budget,high
7,B0D6G1JFZ2,"Pilgrim Australian Tea Tree Non-Drying Anti-Dandruff Shampoo 200 ml | Removes Dandruff from Source | Helps with Itching, Irritation | Strong & Smooth Hair | For Men & Women",Pilgrim,186.0,INR,4.1,7486,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/61XlgvckwCL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Pilgrim-Australian-Non-Drying-Anti-Dandruff-Irritation/dp/B0D6G1JFZ2/ref=zg_bs_g_9851597031_d_sccl_7/522-7345175-6782152?psc=1,2026-03-24T12:56:18.396624,1,29,True,budget,high
8,B0B6XQGXJW,"L Oréal Paris Moisture Filling Shampoo, With Hyaluronic Acid, For Dry & Dehydrated Hair, Adds Shine & Bounce, Hyaluron Moisture 72H, 340Ml.",L,286.0,INR,4.3,18991,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/51pruNF+rXL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Paris-Moisture-Hyaluronic-Dehydrated-Hyaluron/dp/B0B6XQGXJW/ref=zg_bs_g_9851597031_d_sccl_8/522-7345175-6782152?psc=1,2026-03-24T12:56:18.397634,1,22,True,budget,high
9,B006QHB9GK,L'Oréal Paris Casting Crème Gloss Hair Color With Glycolic Gloss Complex | 5X Glossier Hair Color | Shade 300 - Darkest Brown | 60g + 40ml + 60g,L'Oréal,461.0,INR,4.2,32765,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/61SPyONZVFL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/LOr%C3%A9al-Casting-Glycolic-Complex-Glossier/dp/B006QHB9GK/ref=zg_bs_g_9851597031_d_sccl_9/522-7345175-6782152?psc=1,2026-03-24T12:56:18.398635,1,28,True,budget,high
10,B07BDNCTFC,Parachute Coconut Oil - 300 ml (Bottle),Parachute,169.0,INR,4.4,15293,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/61dUCXFgN3L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Parachute-Coconut-Oil-300ml-Bottle/dp/B07BDNCTFC/ref=zg_bs_g_9851597031_d_sccl_10/522-7345175-6782152?psc=1,2026-03-24T12:56:18.399749,1,7,True,budget,high
11,B0CRTQZ4HG,"Pilgrim Redensyl 3% + Anagain 4% + Baicapil Advanced Hair Growth Serum (30ml) for Scalp with Korean Black Rice | Control Hair Fall, Stimulate Hair Regrowth, Increase Hair Density | For Women & Men",Pilgrim,554.0,INR,4.1,8880,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/71CgBm4faQL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Pilgrim-Redensyl-Advanced-Ingredients-Stimulates/dp/B0CRTQZ4HG/ref=zg_bs_g_9851597031_d_sccl_11/522-7345175-6782152?psc=1,2026-03-24T12:56:18.400803,1,34,True,mid,high
12,B0744GC2CK,"L'Oréal Professionnel Absolut Repair Shampoo for Dry & Damaged Hair - 300ml | Professional shampoo for Strengthening and Repairing Hair, With Protein & Omega-9, For Men & Women",L'Oréal,677.0,INR,4.2,14708,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/61VSeszx50L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/LOr%C3%A9al-Professionnel-Provides-conditioning-strength/dp/B0744GC2CK/ref=zg_bs_g_9851597031_d_sccl_12/522-7345175-6782152?psc=1,2026-03-24T12:56:18.401880,1,28,True,mid,high
13,B07X6MKT5N,Biotique Herbcolor Conditioning Hair Colour l Ammonia Free Hair Color l 9 Organic Herbal Extracts l Natural and Healthy Shine l 50g + 110ml| Darkest Brown 3N (Pack of 1),Biotique,178.0,INR,4.0,21904,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/51Lw2rJA-RL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Biotique-Bio-Herbcolor-Darkest-Brown/dp/B07X6MKT5N/ref=zg_bs_g_9851597031_d_sccl_13/522-7345175-6782152?psc=1,2026-03-24T12:56:18.402961,1,30,True,budget,high
14,B0F8R6FHYX,"L'Oreal Paris Total Repair 5 Shampoo, For Repairing 5 Signs Of Damaged Hair, With Keratin Xs | 800Ml",L'Oreal,400.0,INR,4.2,21516,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/5152pBdloeL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/LOreal-Paris-Shampoo-Repairing-Damaged/dp/B0F8R6FHYX/ref=zg_bs_g_9851597031_d_sccl_14/522-7345175-6782152?psc=1,2026-03-24T12:56:18.404054,1,18,True,budget,high
15,B0DSLP1VCM,"L’Oréal Paris Hyaluron Pure 72H Purifying Shampoo, For oily scalp & dry hair with salicylic and hyaluronic acid, 800 ml",L’Oréal,520.0,INR,4.2,4126,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/51LM0j4JpFL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Paris-Hyaluron-Purifying-salicylic-hyaluronic/dp/B0DSLP1VCM/ref=zg_bs_g_9851597031_d_sccl_15/522-7345175-6782152?psc=1,2026-03-24T12:56:18.405167,1,20,True,mid,high
16,B0DK6W7RPS,Bare Anatomy Nature x Science Rosemary Water Spray for Hair Growth & Hair Thickness with Rice Water | 100% Natural Extract | Soft & Smooth Hair | Controls Hairfall & Adds Shine | Non-Greasy & Fast Absorbing | 200 ml,Bare,359.0,INR,4.2,1387,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/41MZm7lsyWL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Bare-Anatomy-Thickness-Non-Greasy-Absorbing/dp/B0DK6W7RPS/ref=zg_bs_g_9851597031_d_sccl_16/522-7345175-6782152?psc=1,2026-03-24T12:56:18.407006,1,40,True,budget,high
17,B0BJ32VKB2,Bare Anatomy Anti-Hair Fall Shampoo | Provides 5x Hair Fall Control | pH 4.6 | Adenosine & Peptides | Strengthens Weak Roots & Reduces Breakage | Sulphate & Paraben Free | Unisex | 250ml,Bare,459.0,INR,4.1,4069,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/41Xc++dNUSL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Bare-Anatomy-Contains-Adenosine-Peptides/dp/B0BJ32VKB2/ref=zg_bs_g_9851597031_d_sccl_17/522-7345175-6782152?psc=1,2026-03-24T12:56:18.408962,1,34,True,budget,high
18,B07L3ZCJ53,TRESemmé Keratin Smooth+ Shampoo 1000ml | 72H Frizz Control with Keratin Protein & Argan Oil | Paraben Free Smoothening Shampoo for Dry & Frizzy Hair,TRESemmé,689.98,INR,4.3,59714,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/51La7HRCp0L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/TRESemme-Keratin-Smooth-Shampoo-1000ml/dp/B07L3ZCJ53/ref=zg_bs_g_9851597031_d_sccl_18/522-7345175-6782152?psc=1,2026-03-24T12:56:18.410836,1,25,True,mid,high
19,B07BDNGTYC,Parachute Coconut Oil 600 ml - Bottle,Parachute,271.0,INR,4.4,31744,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/61fapIFwFmL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Parachute-100-Coconut-Bottle-600ml/dp/B07BDNGTYC/ref=zg_bs_g_9851597031_d_sccl_19/522-7345175-6782152?psc=1,2026-03-24T12:56:18.412702,1,7,True,budget,high
20,B09VSZVQ1P,"Kottakkal ayurveda Nalpamaradi Tailam - Oil, 200 Ml, For Hair & Skin (Pack Of 1)",Kottakkal,165.0,INR,4.2,1316,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/81hjHo4KfdL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Kottakkal-ayurveda%C2%AE-Nalpamaradi-Tailam-Hair/dp/B09VSZVQ1P/ref=zg_bs_g_9851597031_d_sccl_20/522-7345175-6782152?psc=1,2026-03-24T12:56:18.414551,1,15,True,budget,high
21,B01K1M9HU0,"INDUS VALLEY Damage Free Natural Gel Hair Colour for Women | Ammonia & PPD Free Organic Hair Colour with 100% Grey Coverage, Long Lasting Conditioning Hair Color | Black 1.00-220 ml",INDUS,615.0,INR,3.8,13995,Hair Care,Hair Care,,"https://images-eu.ssl-images-amazon.com/images/I/81izuZtBzaL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/INDUS-VALLEY-No-Ammonia-Semi-Permanent-Coverage/dp/B01K1M9HU0/ref=zg_bs_g_9851597031_d_sccl_21/522-7345175-6782152?psc=1,2026-03-24T12:56:18.416234,1,31,True,mid,high
