keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
cleaner,77,15.9,['Household Cleaners'],4.22,10624.0,1
floor,24,14.6,['Household Cleaners'],4.3,16757.0,1
liquid,23,16.6,['Household Cleaners'],4.36,17909.0,1
bathroom,20,13.8,['Household Cleaners'],4.12,10844.0,1
surface,19,16.9,['Household Cleaners'],4.25,19348.0,1
cleaner liquid,18,16.9,['Household Cleaners'],4.34,15172.0,1
floor cleaner,17,16.1,['Household Cleaners'],4.32,11151.0,1
cleaning,17,17.9,['Household Cleaners'],4.14,12150.0,1
disinfectant,15,14.9,['Household Cleaners'],4.37,31259.0,1
toilet,15,17.0,['Household Cleaners'],4.28,16770.0,1
suitable,14,15.1,['Household Cleaners'],4.21,7219.0,1
suitable for,14,15.1,['Household Cleaners'],4.21,7219.0,1
pack of,12,15.4,['Household Cleaners'],4.07,12174.0,1
toilet cleaner,12,15.2,['Household Cleaners'],4.29,19436.0,1
litre,11,15.6,['Household Cleaners'],4.25,13891.0,1
stains,11,16.5,['Household Cleaners'],4.19,12112.0,1
removes,10,13.6,['Household Cleaners'],4.17,11883.0,1
tough,10,13.6,['Household Cleaners'],4.09,6952.0,1
kitchen,10,16.6,['Household Cleaners'],4.1,4052.0,1
harpic,10,15.5,['Household Cleaners'],4.37,21145.0,1
fresh,10,18.1,['Household Cleaners'],4.32,18873.0,1
spray,10,19.8,['Household Cleaners'],3.86,3675.0,1
tiles,9,14.4,['Household Cleaners'],4.01,3141.0,1
limescale,8,16.4,['Household Cleaners'],4.17,6653.0,1
washing,8,15.8,['Household Cleaners'],4.17,3842.0,1
presto,8,11.2,['Household Cleaners'],4.15,14312.0,1
germs,8,12.4,['Household Cleaners'],4.27,23032.0,1
surface cleaner,8,17.5,['Household Cleaners'],4.3,13856.0,1
remover,7,16.3,['Household Cleaners'],4.19,3268.0,1
machine,7,13.9,['Household Cleaners'],4.16,3178.0,1
load,7,14.3,['Household Cleaners'],4.1,4386.0,1
washing machine,7,13.9,['Household Cleaners'],4.16,3178.0,1
amazon,7,10.9,['Household Cleaners'],4.14,15533.0,1
brand,7,10.9,['Household Cleaners'],4.14,15533.0,1
amazon brand,7,10.9,['Household Cleaners'],4.14,15533.0,1
brand presto,7,10.9,['Household Cleaners'],4.14,15533.0,1
powder,7,17.0,['Household Cleaners'],4.24,2809.0,1
bathroom cleaner,7,12.6,['Household Cleaners'],4.34,13343.0,1
stain,7,19.4,['Household Cleaners'],3.89,1423.0,1
all,6,14.0,['Household Cleaners'],4.23,14190.0,1
kills,6,11.5,['Household Cleaners'],4.3,27533.0,1
surfaces,6,16.7,['Household Cleaners'],3.98,10749.0,1
disinfectant surface,6,17.0,['Household Cleaners'],4.33,28146.0,1
kills germs,6,11.5,['Household Cleaners'],4.3,27533.0,1
clean,6,10.8,['Household Cleaners'],4.23,10725.0,1
kitchen cleaner,6,13.0,['Household Cleaners'],4.12,3798.0,1
disinfectant toilet,6,15.3,['Household Cleaners'],4.35,22780.0,1
happi,5,10.2,['Household Cleaners'],3.98,6302.0,1
planet,5,10.2,['Household Cleaners'],3.98,6302.0,1
tap,5,11.8,['Household Cleaners'],4.16,10072.0,1
happi planet,5,10.2,['Household Cleaners'],3.98,6302.0,1
citrus,5,14.2,['Household Cleaners'],4.38,25569.0,1
surface floor,5,16.8,['Household Cleaners'],4.32,20870.0,1
tile,5,20.0,['Household Cleaners'],3.84,9918.0,1
floors,5,11.8,['Household Cleaners'],3.86,8535.0,1
power,5,14.2,['Household Cleaners'],4.22,6730.0,1
lemon,5,15.2,['Household Cleaners'],4.4,11056.0,1
bottle,5,18.8,['Household Cleaners'],3.92,4674.0,1
