rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
1,B0DG64CL4M,"Happi Planet | Tap Cleaner & Limescale Remover | India’s 1st Foaming Formulation for Reduced Scrubbing Effort, Non-Toxic | 500ml | All Purpose Cleaner Suitable for Bathroom, Tap, Shower, Tiles, Mirror",Happi,200.0,INR,3.9,15098,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/61ULTWjcodL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Happi-Planet-Limescale-Formulation-Scrubbing/dp/B0DG64CL4M/ref=zg_bs_g_1374544031_d_sccl_1/523-2315591-5749706?psc=1,2026-03-24T13:08:07.210154,1,31,True,budget,high
2,B0G151MCJR,"Happi Planet | Washing Machine Cleaner & Descaler Tablets | 8 Tablets | Removes Tough Grime, Limescale & Soap Scum | Used for Top Load & Front Load | Protects Clothes from Residue",Happi,200.0,INR,3.9,1474,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/513ZUC5RfIL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Happi-Planet-Descaler-Limescale-Protects/dp/B0G151MCJR/ref=zg_bs_g_1374544031_d_sccl_2/523-2315591-5749706?psc=1,2026-03-24T13:08:07.211323,1,33,True,budget,high
3,B07ZKQ8HXS,"Amazon Brand - Presto! Disinfectant Surface & Floor Cleaner | Citrus | 5 Litre | Kills 99.9% Germs | Suitable For Floor & Bathroom Surfaces Like Ceramic, Marble, Granite, Mosaic",Amazon,455.0,INR,4.2,36751,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/61w1TISN+AL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Amazon-Brand-Disinfectant-Surface-Cleaner/dp/B07ZKQ8HXS/ref=zg_bs_g_1374544031_d_sccl_3/523-2315591-5749706?psc=1,2026-03-24T13:08:07.212427,1,30,True,budget,high
4,B07KT852PD,"Amazon Brand - Presto! Disinfectant Toilet Cleaner, Original | 2 Litre | 1 L X 2 Packs | Kills 99.9% Germs | Removes Tough Stains | Provides Long Lasting Freshness",Amazon,225.0,INR,4.2,17362,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/71q3yll+svL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Amazon-Brand-Presto-Toilet-Cleaner/dp/B07KT852PD/ref=zg_bs_g_1374544031_d_sccl_4/523-2315591-5749706?psc=1,2026-03-24T13:08:07.213531,1,30,True,budget,high
5,B01LZSWXWI,"Roff Cera Clean All Purpose Tile, Floor & Wall Cleaner 1 liter Pack of 1, Advance, Bedroom & Bathroom Floors, Removes Grease, Dirt & Tough Stains",Roff,182.0,INR,4.0,38969,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/51m+-Z0kk3L._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Pidilite-Purpose-Cleaner-Advance-Bathroom/dp/B01LZSWXWI/ref=zg_bs_g_1374544031_d_sccl_5/523-2315591-5749706?psc=1,2026-03-24T13:08:07.214634,1,26,True,budget,high
6,B0DSVQVF98,"Happi Planet | Kitchen Cleaner | India’s 1st Foaming Formulation for Less Scrubbing | 500ml | Suitable for Stoves, Chimneys, Counter Tops, Appliances, Walls & Cabinets | Non Toxic & Natural",Happi,200.0,INR,4.1,9074,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/7110A3z6NBL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Happi-Planet-Formulation-Scrubbing-Appliances/dp/B0DSVQVF98/ref=zg_bs_g_1374544031_d_sccl_6/523-2315591-5749706?psc=1,2026-03-24T13:08:07.215923,1,31,True,budget,high
7,B0755CG1LW,Amazon Brand - Presto! Disinfectant Surface & Floor Cleaner Liquid | Lavendar | 2 Litre | 1 Can | Kills 99.9% Germs | Removes Stains | Safe On Hands,Amazon,225.0,INR,4.2,37690,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/714-KR1qgzL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Amazon-Brand-Disinfectant-Cleaner-Lavender/dp/B0755CG1LW/ref=zg_bs_g_1374544031_d_sccl_7/523-2315591-5749706?psc=1,2026-03-24T13:08:07.217867,1,29,True,budget,high
8,B07QK29V9G,"Dettol Multi-Purpose Disinfectant Liquid for Floor & Surface Cleaning, Lime Fresh Fragrance, 1L",Dettol,412.0,INR,4.5,129426,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/51ZjDUzqAwL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Dettol-Disinfectant-Cleaner-Home-Fresh/dp/B07QK29V9G/ref=zg_bs_g_1374544031_d_sccl_8/523-2315591-5749706?psc=1,2026-03-24T13:08:07.219734,1,13,True,budget,high
9,B0FMDT8LJH,"Beco Max | Kitchen Cleaner - 500 ml | Instantly removes Tough Greases, No stains or residue | Cleans in 60 seconds | Maximum cleaning power | Suitable for Counter Tops, Stoves, Chimneys",Beco,187.0,INR,4.2,691,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/51Dpamw6gCL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Beco-Max-Kitchen-Cleaner-Instantly/dp/B0FMDT8LJH/ref=zg_bs_g_1374544031_d_sccl_9/523-2315591-5749706?psc=1,2026-03-24T13:08:07.221637,1,33,True,budget,medium
10,B00NWFVVG2,"Harpic Disinfectant Toilet Cleaner Liquid, Original - 1 L | India's # 1 Toilet Cleaner",Harpic,215.0,INR,4.4,47575,Household Cleaners,Household Cleaners,,"https://images-eu.ssl-images-amazon.com/images/I/61j+zu68oTL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Harpic-Powerplus-Toilet-Cleaner-Original/dp/B00NWFVVG2/ref=zg_bs_g_1374544031_d_sccl_10/523-2315591-5749706?psc=1,2026-03-24T13:08:07.223559,1,15,True,budget,high
