keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
women,53,14.3,['Jewellery'],3.97,1139.0,1
for women,44,14.2,['Jewellery'],3.95,905.0,1
girls,36,16.6,['Jewellery'],4.04,933.0,1
set for,21,12.9,['Jewellery'],3.81,562.0,1
jewellery,21,15.9,['Jewellery'],4.01,1976.0,1
bracelet,21,12.3,['Jewellery'],3.93,1389.0,1
fashion,20,17.9,['Jewellery'],4.04,1178.0,1
stylish,19,15.7,['Jewellery'],4.01,1605.0,1
hair,18,17.4,['Jewellery'],4.35,417.0,1
traditional,17,14.2,['Jewellery'],3.89,580.0,1
necklace,16,17.4,['Jewellery'],3.94,1061.0,1
gold,16,18.0,['Jewellery'],4.01,1748.0,1
shining,15,18.1,['Jewellery'],4.0,1409.0,1
diva,15,18.1,['Jewellery'],4.0,1409.0,1
shining diva,15,18.1,['Jewellery'],4.0,1409.0,1
diva fashion,15,18.1,['Jewellery'],4.0,1409.0,1
wedding,13,16.5,['Jewellery'],3.88,346.0,1
silver,13,18.2,['Jewellery'],4.16,797.0,1
bangles,12,13.2,['Jewellery'],3.8,47.0,1
latest,12,17.3,['Jewellery'],3.95,1488.0,1
gifts,12,14.2,['Jewellery'],4.09,630.0,1
women girls,12,17.6,['Jewellery'],4.05,314.0,1
men,12,14.2,['Jewellery'],4.02,975.0,1
gift,12,18.0,['Jewellery'],4.08,473.0,1
set of,11,12.7,['Jewellery'],3.83,288.0,1
for girls,11,15.5,['Jewellery'],3.94,1753.0,1
bracelet for,11,13.4,['Jewellery'],3.94,884.0,1
for men,11,15.5,['Jewellery'],4.03,918.0,1
plated,10,17.6,['Jewellery'],3.98,2166.0,1
gold plated,10,17.6,['Jewellery'],3.98,2166.0,1
earrings,10,17.7,['Jewellery'],4.1,894.0,1
glass,9,8.3,['Jewellery'],3.57,41.0,1
bangle,9,11.7,['Jewellery'],3.71,1938.0,1
pendant,9,15.7,['Jewellery'],3.97,661.0,1
latest stylish,9,18.6,['Jewellery'],3.94,1249.0,1
combo,9,12.8,['Jewellery'],4.03,373.0,1
women and,9,19.6,['Jewellery'],4.03,968.0,1
and girls,9,17.8,['Jewellery'],4.01,882.0,1
pendant necklace,8,15.5,['Jewellery'],3.94,675.0,1
gifts for,8,14.4,['Jewellery'],4.03,828.0,1
fancy,7,16.1,['Jewellery'],3.83,740.0,1
accessories,7,14.7,['Jewellery'],4.34,381.0,1
clips,7,16.1,['Jewellery'],4.42,367.0,1
gift for,7,19.9,['Jewellery'],4.15,530.0,1
chain,7,22.3,['Jewellery'],4.06,592.0,1
kashmiri,6,13.5,['Jewellery'],3.73,10.0,1
party,6,13.5,['Jewellery'],3.65,327.0,1
design,6,11.7,['Jewellery'],4.0,914.0,1
of pcs,6,15.8,['Jewellery'],4.25,347.0,1
crystal,6,21.3,['Jewellery'],4.1,3015.0,1
hair clips,6,16.5,['Jewellery'],4.42,428.0,1
birthday,6,16.2,['Jewellery'],4.57,934.0,1
stainless,6,16.5,['Jewellery'],4.02,711.0,1
steel,6,16.5,['Jewellery'],4.02,711.0,1
boys,6,17.0,['Jewellery'],3.98,704.0,1
stainless steel,6,16.5,['Jewellery'],4.02,711.0,1
earrings for,6,18.8,['Jewellery'],4.1,893.0,1
chudi,5,10.6,['Jewellery'],3.58,33.0,1
for wedding,5,10.6,['Jewellery'],3.58,33.0,1
wedding party,5,11.0,['Jewellery'],3.56,387.0,1
butterfly,5,10.4,['Jewellery'],3.88,668.0,1
pearl,5,14.2,['Jewellery'],3.86,903.0,1
fashion pcs,5,13.2,['Jewellery'],3.92,1099.0,1
jewellery set,5,15.6,['Jewellery'],3.94,1560.0,1
women pendant,5,13.4,['Jewellery'],3.86,811.0,1
necklace gifts,5,13.4,['Jewellery'],3.86,811.0,1
pyrite,5,9.2,['Jewellery'],3.74,545.0,1
hair accessories,5,15.4,['Jewellery'],4.47,445.0,1
clips for,5,15.4,['Jewellery'],4.3,512.0,1
jewelry,5,20.8,['Jewellery'],3.94,196.0,1
fashion latest,5,20.0,['Jewellery'],4.06,2142.0,1
pack of,5,19.6,['Jewellery'],4.3,530.0,1
men boys,5,18.6,['Jewellery'],4.02,769.0,1
bangle set,4,9.2,['Jewellery'],3.48,355.0,1
chudi set,4,12.2,['Jewellery'],3.55,18.0,1
ethnic,4,10.0,['Jewellery'],3.83,75.0,1
festive,4,16.5,['Jewellery'],4.05,572.0,1
necklace jewellery,4,12.5,['Jewellery'],3.92,1500.0,1
ghungroo,4,21.0,['Jewellery'],4.1,10.0,1
bracelets,4,9.5,['Jewellery'],3.95,4358.0,1
rose,4,19.8,['Jewellery'],4.1,4607.0,1
jewellery for,4,11.2,['Jewellery'],3.88,3454.0,1
colorful,4,19.8,['Jewellery'],4.4,519.0,1
kids,4,15.8,['Jewellery'],4.47,446.0,1
band,4,10.0,['Jewellery'],4.1,880.0,1
anklet,4,10.5,['Jewellery'],3.83,306.0,1
protection,4,12.8,['Jewellery'],3.9,784.0,1
adjustable,4,6.5,['Jewellery'],4.03,925.0,1
jhumka,4,16.5,['Jewellery'],4.15,243.0,1
jhumki,4,18.8,['Jewellery'],4.1,419.0,1
necklace set,4,21.8,['Jewellery'],3.95,965.0,1
metal,4,20.0,['Jewellery'],3.95,702.0,1
box,4,11.8,['Jewellery'],4.03,229.0,1
ghangharoo,3,7.7,['Jewellery'],3.37,14.0,1
light,3,7.7,['Jewellery'],3.37,14.0,1
weight,3,7.7,['Jewellery'],3.37,14.0,1
transparent,3,7.7,['Jewellery'],3.37,14.0,1
kashmiri ghangharoo,3,7.7,['Jewellery'],3.37,14.0,1
ghangharoo glass,3,7.7,['Jewellery'],3.37,14.0,1
glass bangle,3,7.7,['Jewellery'],3.37,14.0,1
light weight,3,7.7,['Jewellery'],3.37,14.0,1
weight bangles,3,7.7,['Jewellery'],3.37,14.0,1
bangles traditional,3,7.7,['Jewellery'],3.37,14.0,1
traditional transparent,3,7.7,['Jewellery'],3.37,14.0,1
transparent fancy,3,7.7,['Jewellery'],3.37,14.0,1
fancy glass,3,7.7,['Jewellery'],3.37,14.0,1
glass chudi,3,7.7,['Jewellery'],3.37,14.0,1
indian,3,11.0,['Jewellery'],4.13,143.0,1
glass bangles,3,9.7,['Jewellery'],3.97,94.0,1
bangles set,3,9.7,['Jewellery'],3.97,94.0,1
traditional ethnic,3,4.0,['Jewellery'],3.9,97.0,1
butterfly pearl,3,6.3,['Jewellery'],3.83,689.0,1
raindrop,3,11.3,['Jewellery'],4.13,35.0,1
infinity,3,9.7,['Jewellery'],4.0,585.0,1
