keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
bags,13,13.2,['Kitchen'],4.34,36261.0,1
home,11,17.4,['Kitchen'],3.96,8360.0,1
cooktop,10,14.7,['Kitchen'],3.56,18670.0,1
warranty,10,12.5,['Kitchen'],4.14,18222.0,1
storage,10,12.4,['Kitchen'],4.18,25314.0,1
induction,9,14.8,['Kitchen'],3.67,23029.0,1
glass,8,12.8,['Kitchen'],3.58,13826.0,1
induction cooktop,8,14.6,['Kitchen'],3.57,23234.0,1
king,8,18.4,['Kitchen'],4.17,27492.0,1
size,8,17.9,['Kitchen'],4.14,15714.0,1
stainless,8,16.9,['Kitchen'],4.06,32001.0,1
steel,8,16.9,['Kitchen'],4.06,32001.0,1
stainless steel,8,16.9,['Kitchen'],4.06,32001.0,1
display,7,12.0,['Kitchen'],3.41,14085.0,1
auto,7,13.3,['Kitchen'],3.41,36485.0,1
kitchen,7,17.7,['Kitchen'],4.24,8357.0,1
cotton,7,21.1,['Kitchen'],4.09,27979.0,1
soft,7,20.0,['Kitchen'],4.1,30856.0,1
bed,7,21.3,['Kitchen'],4.19,27114.0,1
fridge,7,9.7,['Kitchen'],4.2,8869.0,1
electric,7,20.6,['Kitchen'],3.77,29846.0,1
watt,6,17.7,['Kitchen'],3.92,52843.0,1
led,6,9.0,['Kitchen'],3.38,21208.0,1
inches,6,14.0,['Kitchen'],4.33,30944.0,1
year,6,9.7,['Kitchen'],4.27,16862.0,1
year warranty,6,9.7,['Kitchen'],4.27,16862.0,1
premium,6,19.5,['Kitchen'],4.27,33316.0,1
protector,6,21.0,['Kitchen'],4.27,54394.0,1
king size,6,18.5,['Kitchen'],4.15,11238.0,1
wall,6,10.5,['Kitchen'],4.1,10481.0,1
water,6,15.5,['Kitchen'],4.13,38724.0,1
bottle,6,14.0,['Kitchen'],4.18,11050.0,1
office,6,15.8,['Kitchen'],4.08,10600.0,1
for home,6,16.0,['Kitchen'],3.82,7683.0,1
protection,6,16.0,['Kitchen'],3.52,9583.0,1
pack of,6,19.0,['Kitchen'],4.22,14765.0,1
air,6,21.7,['Kitchen'],4.22,16572.0,1
led display,5,10.6,['Kitchen'],3.22,15160.0,1
medium,5,14.6,['Kitchen'],4.32,56414.0,1
cooking,5,15.8,['Kitchen'],3.62,6117.0,1
watts,5,15.8,['Kitchen'],3.98,16683.0,1
transparent,5,9.4,['Kitchen'],4.16,13100.0,1
large,5,18.4,['Kitchen'],4.26,12953.0,1
hooks,5,11.2,['Kitchen'],4.1,9932.0,1
vacuum,5,12.4,['Kitchen'],4.36,38604.0,1
room,5,9.2,['Kitchen'],4.12,8625.0,1
pillow,5,23.6,['Kitchen'],4.18,6727.0,1
amazon,4,10.2,['Kitchen'],4.3,57764.0,1
garbage,4,12.8,['Kitchen'],4.38,34022.0,1
garbage bags,4,12.8,['Kitchen'],4.38,34022.0,1
button,4,14.8,['Kitchen'],3.52,11188.0,1
silver,4,15.5,['Kitchen'],4.15,56126.0,1
x72,4,17.2,['Kitchen'],4.25,50520.0,1
fitted,4,21.0,['Kitchen'],4.15,43819.0,1
cover,4,15.2,['Kitchen'],4.1,20739.0,1
indian,4,16.2,['Kitchen'],3.42,13986.0,1
menu,4,14.5,['Kitchen'],3.62,14037.0,1
timer,4,16.0,['Kitchen'],3.9,15568.0,1
water bottle,4,13.2,['Kitchen'],4.25,13186.0,1
modes,4,18.5,['Kitchen'],3.55,3430.0,1
shut-off,4,18.5,['Kitchen'],3.52,45146.0,1
auto shut-off,4,18.5,['Kitchen'],3.52,45146.0,1
boiling,4,14.0,['Kitchen'],3.77,48457.0,1
preset,4,13.0,['Kitchen'],3.47,11153.0,1
touch,4,19.0,['Kitchen'],3.62,11321.0,1
bag,4,19.8,['Kitchen'],4.4,20364.0,1
fan,4,15.0,['Kitchen'],4.15,33071.0,1
cooker,4,19.0,['Kitchen'],4.33,21602.0,1
bath,4,24.0,['Kitchen'],4.0,6567.0,1
crystal,3,16.7,['Kitchen'],3.2,25095.0,1
off,3,11.3,['Kitchen'],3.93,27749.0,1
cooktop with,3,12.3,['Kitchen'],3.73,28964.0,1
crystal glass,3,16.7,['Kitchen'],3.2,25095.0,1
