keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
skin,76,15.7,['Skincare'],4.25,17854.0,1
men,22,15.0,['Skincare'],4.19,18085.0,1
face,21,15.0,['Skincare'],4.25,18078.0,1
acid,21,16.8,['Skincare'],4.18,14108.0,1
women,20,16.5,['Skincare'],4.21,13706.0,1
all,16,17.4,['Skincare'],4.22,12067.0,1
body,15,16.7,['Skincare'],4.33,26680.0,1
oil,15,17.7,['Skincare'],4.3,24858.0,1
wash,14,15.1,['Skincare'],4.21,15708.0,1
dry,14,12.7,['Skincare'],4.35,17681.0,1
all skin,14,16.3,['Skincare'],4.24,13300.0,1
spf,14,16.2,['Skincare'],4.26,13222.0,1
sunscreen,13,14.8,['Skincare'],4.25,13698.0,1
niacinamide,13,15.6,['Skincare'],4.22,13469.0,1
for all,12,15.0,['Skincare'],4.21,13865.0,1
gel,12,20.1,['Skincare'],4.28,18733.0,1
for men,11,9.9,['Skincare'],4.14,18368.0,1
types,11,15.3,['Skincare'],4.25,13027.0,1
skin types,11,15.3,['Skincare'],4.25,13027.0,1
protection,11,14.9,['Skincare'],4.28,28500.0,1
vitamin,11,14.4,['Skincare'],4.19,22286.0,1
serum,11,13.7,['Skincare'],4.24,21840.0,1
face wash,10,13.6,['Skincare'],4.19,14003.0,1
hydration,10,15.8,['Skincare'],4.33,18125.0,1
moisturizer,10,21.8,['Skincare'],4.29,17923.0,1
soap,9,10.4,['Skincare'],4.19,18525.0,1
men women,9,11.7,['Skincare'],4.09,14887.0,1
skin for,9,15.9,['Skincare'],4.24,16180.0,1
lightweight,9,15.6,['Skincare'],4.21,14574.0,1
oily,9,17.4,['Skincare'],4.2,14362.0,1
acne,9,15.8,['Skincare'],4.17,17870.0,1
hyaluronic,8,16.4,['Skincare'],4.25,19140.0,1
spf pa,8,15.8,['Skincare'],4.26,13495.0,1
gentle,8,11.2,['Skincare'],4.28,18482.0,1
salicylic,8,13.2,['Skincare'],4.16,17070.0,1
cream,8,13.8,['Skincare'],4.3,15982.0,1
