keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
sunscreen,57,15.9,['Sun Care'],4.24,1544.0,1
spf,46,15.2,['Sun Care'],4.17,1477.0,1
protection,40,14.6,['Sun Care'],4.16,464.0,1
skin,38,13.8,['Sun Care'],4.18,3526.0,1
lotion,26,14.0,['Sun Care'],4.14,418.0,1
spf pa,22,14.3,['Sun Care'],4.34,888.0,1
sun,21,12.9,['Sun Care'],4.27,458.0,1
uva,20,12.8,['Sun Care'],4.08,1222.0,1
uvb,19,12.2,['Sun Care'],4.09,1285.0,1
uva uvb,19,12.2,['Sun Care'],4.09,1285.0,1
broad,18,12.3,['Sun Care'],4.27,1453.0,1
spectrum,18,12.3,['Sun Care'],4.27,1453.0,1
broad spectrum,18,12.3,['Sun Care'],4.27,1453.0,1
gel,17,15.2,['Sun Care'],4.14,2470.0,1
all,17,14.6,['Sun Care'],4.05,488.0,1
all skin,17,14.6,['Sun Care'],4.05,488.0,1
lightweight,16,14.6,['Sun Care'],4.08,1740.0,1
types,16,15.2,['Sun Care'],4.05,519.0,1
skin types,16,15.2,['Sun Care'],4.05,519.0,1
body,15,13.2,['Sun Care'],4.17,447.0,1
cast,14,15.8,['Sun Care'],4.08,1408.0,1
white cast,14,15.8,['Sun Care'],4.08,1408.0,1
water,12,12.8,['Sun Care'],4.17,496.0,1
for all,12,15.4,['Sun Care'],3.88,440.0,1
no white,12,15.5,['Sun Care'],4.07,1539.0,1
sunscreen lotion,11,14.8,['Sun Care'],4.36,761.0,1
resistant,10,12.0,['Sun Care'],3.94,476.0,1
spectrum uva,10,10.4,['Sun Care'],4.25,2147.0,1
lotion for,10,10.9,['Sun Care'],4.17,136.0,1
cream,10,16.0,['Sun Care'],4.44,4188.0,1
sun protection,10,17.0,['Sun Care'],4.35,194.0,1
body lotion,9,15.3,['Sun Care'],4.1,61.0,1
non-greasy,9,13.2,['Sun Care'],3.83,364.0,1
sunscreen spf,9,14.2,['Sun Care'],3.8,793.0,1
uvb protection,8,13.1,['Sun Care'],4.32,217.0,1
pack of,8,20.5,['Sun Care'],3.71,613.0,1
formula,8,13.9,['Sun Care'],4.29,1341.0,1
kids,7,14.3,['Sun Care'],4.27,450.0,1
oily,7,13.0,['Sun Care'],4.49,8100.0,1
matte,7,14.7,['Sun Care'],4.38,3877.0,1
light,6,11.2,['Sun Care'],3.92,1896.0,1
sensitive,6,9.7,['Sun Care'],4.33,4264.0,1
water resistant,6,10.2,['Sun Care'],3.93,746.0,1
sunscreen for,6,13.7,['Sun Care'],4.47,5907.0,1
tan,6,13.2,['Sun Care'],4.02,721.0,1
finish,6,13.0,['Sun Care'],4.46,4520.0,1
men,6,13.0,['Sun Care'],3.7,531.0,1
women,6,13.0,['Sun Care'],3.7,531.0,1
matte finish,6,13.0,['Sun Care'],4.46,4520.0,1
dry,6,15.5,['Sun Care'],4.37,3769.0,1
gel spf,6,18.2,['Sun Care'],4.48,1719.0,1
pa broad,6,14.5,['Sun Care'],4.5,1729.0,1
lightweight non-greasy,6,14.3,['Sun Care'],3.92,2.0,1
hyaluronic,6,21.2,['Sun Care'],4.25,29.0,1
very,5,12.8,['Sun Care'],4.4,1076.0,1
high,5,10.0,['Sun Care'],4.18,1127.0,1
daily,5,7.6,['Sun Care'],4.2,4882.0,1
spf sunscreen,5,16.2,['Sun Care'],3.9,785.0,1
hydrating,5,11.2,['Sun Care'],3.95,4328.0,1
for kids,5,15.6,['Sun Care'],4.4,435.0,1
aloe,5,16.2,['Sun Care'],4.24,82.0,1
pa sunscreen,5,15.2,['Sun Care'],4.2,359.0,1
spray,5,11.8,['Sun Care'],4.36,2236.0,1
oily skin,5,11.0,['Sun Care'],4.44,6534.0,1
brightening,5,15.8,['Sun Care'],3.72,608.0,1
ml pack,5,10.6,['Sun Care'],4.17,972.0,1
niacinamide,5,21.0,['Sun Care'],4.43,33.0,1
protect,5,16.2,['Sun Care'],4.12,958.0,1
lotion ml,5,18.2,['Sun Care'],4.27,374.0,1
