keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
toilet,79,16.8,['Toilet Cleaners'],4.0,5010.0,1
cleaner,68,16.0,['Toilet Cleaners'],4.12,5701.0,1
toilet cleaner,47,15.5,['Toilet Cleaners'],4.2,8132.0,1
liquid,27,14.1,['Toilet Cleaners'],4.28,8381.0,1
disinfectant,22,13.2,['Toilet Cleaners'],4.3,10899.0,1
disinfectant toilet,21,13.3,['Toilet Cleaners'],4.32,11369.0,1
pack of,21,14.4,['Toilet Cleaners'],3.87,3560.0,1
cleaning,20,18.6,['Toilet Cleaners'],2.97,114.0,1
cleaner liquid,18,15.2,['Toilet Cleaners'],4.34,11050.0,1
fresh,18,13.5,['Toilet Cleaners'],3.86,2763.0,1
harpic,17,16.0,['Toilet Cleaners'],4.34,12045.0,1
bowl,13,18.3,['Toilet Cleaners'],3.94,311.0,1
toilet bowl,13,18.3,['Toilet Cleaners'],3.94,311.0,1
original,10,12.8,['Toilet Cleaners'],4.35,19103.0,1
removes,10,13.9,['Toilet Cleaners'],4.0,2303.0,1
stains,10,14.4,['Toilet Cleaners'],3.79,2221.0,1
freshness,9,10.8,['Toilet Cleaners'],4.16,4470.0,1
fragrance,9,18.3,['Toilet Cleaners'],4.05,245.0,1
powerful,9,18.8,['Toilet Cleaners'],3.44,122.0,1
bowl cleaner,9,19.8,['Toilet Cleaners'],4.09,388.0,1
tablets,9,20.0,['Toilet Cleaners'],2.57,27.0,1
germs,8,10.6,['Toilet Cleaners'],4.06,10252.0,1
clean,8,13.0,['Toilet Cleaners'],3.03,1366.0,1
bathroom,8,16.0,['Toilet Cleaners'],3.9,230.0,1
formula,8,12.6,['Toilet Cleaners'],3.51,820.0,1
limescale,8,21.1,['Toilet Cleaners'],4.0,284.0,1
stain,8,17.2,['Toilet Cleaners'],3.48,580.0,1
deep,8,15.8,['Toilet Cleaners'],2.24,261.0,1
india's,7,17.1,['Toilet Cleaners'],4.33,16849.0,1
india's toilet,7,17.1,['Toilet Cleaners'],4.33,16849.0,1
use,7,18.1,['Toilet Cleaners'],4.17,553.0,1
power,7,19.4,['Toilet Cleaners'],4.03,352.0,1
foam,7,14.0,['Toilet Cleaners'],3.34,76.0,1
foaming,7,12.9,['Toilet Cleaners'],1.93,38.0,1
toilet cleaning,7,23.0,['Toilet Cleaners'],2.56,59.0,1
litre,6,16.0,['Toilet Cleaners'],4.28,3746.0,1
tough,6,8.0,['Toilet Cleaners'],3.7,3182.0,1
harpic disinfectant,6,12.2,['Toilet Cleaners'],4.4,28805.0,1
flushes,6,16.7,['Toilet Cleaners'],4.23,3089.0,1
bowls,6,16.5,['Toilet Cleaners'],3.73,1375.0,1
for toilet,6,16.0,['Toilet Cleaners'],4.02,1444.0,1
toilet bowls,6,16.5,['Toilet Cleaners'],3.73,1375.0,1
tank,6,17.5,['Toilet Cleaners'],4.44,21.0,1
powder,6,13.7,['Toilet Cleaners'],3.12,34.0,1
kills,5,4.8,['Toilet Cleaners'],4.08,15982.0,1
kills germs,5,4.8,['Toilet Cleaners'],4.08,15982.0,1
liquid original,5,11.8,['Toilet Cleaners'],4.42,34552.0,1
bleach,5,12.6,['Toilet Cleaners'],4.42,4900.0,1
domex,5,13.0,['Toilet Cleaners'],4.24,3483.0,1
remover,5,17.4,['Toilet Cleaners'],3.68,580.0,1
safe,5,23.0,['Toilet Cleaners'],4.0,255.0,1
cleaning powder,5,13.0,['Toilet Cleaners'],2.86,35.0,1
advanced,5,9.4,['Toilet Cleaners'],4.0,1922.0,1
automatic,5,21.2,['Toilet Cleaners'],4.33,132.0,1
provides,4,8.0,['Toilet Cleaners'],4.05,5704.0,1
long,4,8.0,['Toilet Cleaners'],4.05,5704.0,1
lasting,4,8.0,['Toilet Cleaners'],4.05,5704.0,1
removes tough,4,8.0,['Toilet Cleaners'],3.6,4366.0,1
tough stains,4,8.0,['Toilet Cleaners'],3.6,4366.0,1
provides long,4,8.0,['Toilet Cleaners'],4.05,5704.0,1
long lasting,4,8.0,['Toilet Cleaners'],4.05,5704.0,1
lasting freshness,4,8.0,['Toilet Cleaners'],4.05,5704.0,1
guard,4,11.0,['Toilet Cleaners'],4.35,4320.0,1
domex fresh,4,11.0,['Toilet Cleaners'],4.35,4320.0,1
fresh guard,4,11.0,['Toilet Cleaners'],4.35,4320.0,1
guard disinfectant,4,11.0,['Toilet Cleaners'],4.35,4320.0,1
freshness for,4,11.0,['Toilet Cleaners'],4.35,4320.0,1
for flushes,4,11.0,['Toilet Cleaners'],4.35,4320.0,1
sparkling,4,13.5,['Toilet Cleaners'],4.17,3163.0,1
safe for,4,22.8,['Toilet Cleaners'],3.9,315.0,1
lemon,4,22.0,['Toilet Cleaners'],4.37,672.0,1
suitable,4,14.5,['Toilet Cleaners'],4.38,2050.0,1
suitable for,4,14.5,['Toilet Cleaners'],4.38,2050.0,1
biodegradable,4,23.5,['Toilet Cleaners'],4.15,356.0,1
action,4,9.2,['Toilet Cleaners'],3.15,504.0,1
septic,4,18.8,['Toilet Cleaners'],4.4,26.0,1
citrus,4,26.0,['Toilet Cleaners'],3.32,949.0,1
ml india's,4,20.8,['Toilet Cleaners'],4.25,3753.0,1
spray,4,20.5,['Toilet Cleaners'],3.2,82.0,1
long-lasting,4,20.0,['Toilet Cleaners'],4.05,57.0,1
flush,4,20.0,['Toilet Cleaners'],4.33,79.0,1
air,4,19.0,['Toilet Cleaners'],4.17,163.0,1
odor,4,16.5,['Toilet Cleaners'],1.88,40.0,1
cleaning tablets,4,22.5,['Toilet Cleaners'],1.1,34.0,1
foam cleaner,4,9.0,['Toilet Cleaners'],3.3,58.0,1
shine,3,6.3,['Toilet Cleaners'],4.23,7648.0,1
lime,3,9.3,['Toilet Cleaners'],4.13,1470.0,1
fresh freshness,3,9.3,['Toilet Cleaners'],4.37,5165.0,1
rose,3,19.3,['Toilet Cleaners'],4.15,647.0,1
daily,3,23.3,['Toilet Cleaners'],4.43,413.0,1
for daily,3,23.3,['Toilet Cleaners'],4.43,413.0,1
daily use,3,23.3,['Toilet Cleaners'],4.43,413.0,1
refreshingly,3,18.0,['Toilet Cleaners'],4.43,1361.0,1
fragrant,3,18.0,['Toilet Cleaners'],4.43,1361.0,1
harpic litre,3,18.0,['Toilet Cleaners'],4.43,1361.0,1
liquid suitable,3,18.0,['Toilet Cleaners'],4.43,1361.0,1
bowls refreshingly,3,18.0,['Toilet Cleaners'],4.43,1361.0,1
refreshingly fragrant,3,18.0,['Toilet Cleaners'],4.43,1361.0,1
organic,3,23.0,['Toilet Cleaners'],4.07,583.0,1
natural,3,20.3,['Toilet Cleaners'],4.03,701.0,1
toxic,3,17.7,['Toilet Cleaners'],4.0,696.0,1
plant,3,19.3,['Toilet Cleaners'],4.2,352.0,1
fumes,3,23.0,['Toilet Cleaners'],4.03,467.0,1
home,3,11.0,['Toilet Cleaners'],3.83,871.0,1
commercial,3,11.0,['Toilet Cleaners'],3.83,871.0,1
home and,3,11.0,['Toilet Cleaners'],3.83,871.0,1
and commercial,3,11.0,['Toilet Cleaners'],3.83,871.0,1
commercial use,3,11.0,['Toilet Cleaners'],3.83,871.0,1
ml pack,3,22.3,['Toilet Cleaners'],4.23,486.0,1
septic tank,3,17.0,['Toilet Cleaners'],4.4,30.0,1
instant,3,15.3,['Toilet Cleaners'],3.93,1461.0,1
removal,3,18.0,['Toilet Cleaners'],3.07,53.0,1
thick,3,16.7,['Toilet Cleaners'],4.45,323.0,1
easy,3,14.0,['Toilet Cleaners'],3.67,44.0,1
automatic toilet,3,25.3,['Toilet Cleaners'],4.2,214.0,1
tank cleaner,3,18.0,['Toilet Cleaners'],4.5,12.0,1
non-toxic,3,23.0,['Toilet Cleaners'],4.3,111.0,1
stains limescale,3,22.0,['Toilet Cleaners'],4.6,72.0,1
bubble,3,14.3,['Toilet Cleaners'],1.1,35.0,1
pipe,3,9.3,['Toilet Cleaners'],3.27,55.0,1
clean foaming,3,8.3,['Toilet Cleaners'],2.63,58.0,1
harpic power,3,18.7,['Toilet Cleaners'],4.27,630.0,1
oxygen,3,13.0,['Toilet Cleaners'],1.43,14.0,1
active,3,20.0,['Toilet Cleaners'],2.47,209.0,1
tablet,3,24.0,['Toilet Cleaners'],0,0.0,1
presto,2,2.5,['Toilet Cleaners'],4.2,11557.0,1
original pack,2,3.5,['Toilet Cleaners'],4.45,35678.0,1
original india's,2,16.0,['Toilet Cleaners'],4.4,44796.0,1
white and,2,7.0,['Toilet Cleaners'],4.45,11272.0,1
and shine,2,7.0,['Toilet Cleaners'],4.45,11272.0,1
shine disinfectant,2,7.0,['Toilet Cleaners'],4.45,11272.0,1
liquid ml,2,18.0,['Toilet Cleaners'],4.2,9944.0,1
sani,2,6.5,['Toilet Cleaners'],4.2,7123.0,1
extra,2,9.0,['Toilet Cleaners'],4.2,10132.0,1
sani fresh,2,6.5,['Toilet Cleaners'],4.2,7123.0,1
liquid sparkling,2,13.5,['Toilet Cleaners'],4.3,5736.0,1
sparkling fresh,2,13.5,['Toilet Cleaners'],4.3,5736.0,1
kleenest,2,17.0,['Toilet Cleaners'],4.15,971.0,1
combo,2,7.0,['Toilet Cleaners'],4.05,840.0,1
plant-based,2,18.5,['Toilet Cleaners'],4.25,602.0,1
each,2,7.0,['Toilet Cleaners'],4.05,840.0,1
bathroom toilet,2,9.0,['Toilet Cleaners'],4.45,504.0,1
cleaning liquid,2,12.5,['Toilet Cleaners'],4.3,494.0,1
rose fragrance,2,18.0,['Toilet Cleaners'],4.3,494.0,1
stain remover,2,21.0,['Toilet Cleaners'],4.15,620.0,1
based,2,19.5,['Toilet Cleaners'],4.2,480.0,1
eliminates,2,17.5,['Toilet Cleaners'],3.1,478.0,1
bacteria,2,15.5,['Toilet Cleaners'],4.15,484.0,1
plant based,2,19.5,['Toilet Cleaners'],4.2,480.0,1
no toxic,2,19.5,['Toilet Cleaners'],4.05,576.0,1
toxic fumes,2,19.5,['Toilet Cleaners'],4.05,576.0,1
shimmer,2,14.0,['Toilet Cleaners'],4.0,341.0,1
mega,2,14.0,['Toilet Cleaners'],4.0,341.0,1
jar,2,14.0,['Toilet Cleaners'],4.0,341.0,1
all,2,16.5,['Toilet Cleaners'],4.0,559.0,1
shimmer toilet,2,14.0,['Toilet Cleaners'],4.0,341.0,1
mega jar,2,14.0,['Toilet Cleaners'],4.0,341.0,1
original liquid,2,13.5,['Toilet Cleaners'],3.9,355.0,1
liquid cleaner,2,13.5,['Toilet Cleaners'],3.9,355.0,1
cleaner powerful,2,10.5,['Toilet Cleaners'],4.3,351.0,1
vooki,2,9.0,['Toilet Cleaners'],3.75,966.0,1
heavy,2,9.0,['Toilet Cleaners'],3.75,966.0,1
duty,2,9.0,['Toilet Cleaners'],3.75,966.0,1
fumeless,2,9.0,['Toilet Cleaners'],3.75,966.0,1
vooki heavy,2,9.0,['Toilet Cleaners'],3.75,966.0,1
heavy duty,2,9.0,['Toilet Cleaners'],3.75,966.0,1
duty toilet,2,9.0,['Toilet Cleaners'],3.75,966.0,1
cleaner fumeless,2,9.0,['Toilet Cleaners'],3.75,966.0,1
fumeless deep,2,9.0,['Toilet Cleaners'],3.75,966.0,1
deep action,2,9.0,['Toilet Cleaners'],3.75,966.0,1
action liquid,2,9.0,['Toilet Cleaners'],3.75,966.0,1
use ml,2,22.0,['Toilet Cleaners'],4.35,621.0,1
powder powerful,2,13.0,['Toilet Cleaners'],2.7,20.0,1
germ,2,23.5,['Toilet Cleaners'],4.6,1267.0,1
cleaner citrus,2,23.5,['Toilet Cleaners'],4.1,1580.0,1
citrus ml,2,24.5,['Toilet Cleaners'],4.15,1566.0,1
scent,2,25.0,['Toilet Cleaners'],3.8,67.0,1
power foam,2,21.0,['Toilet Cleaners'],3.8,134.0,1
bathroom cleaning,2,17.0,['Toilet Cleaners'],3.8,67.0,1
stain removal,2,22.5,['Toilet Cleaners'],4.1,74.0,1
advanced toilet,2,17.0,['Toilet Cleaners'],3.9,490.0,1
limescale remover,2,21.5,['Toilet Cleaners'],3.15,486.0,1
germs provides,2,13.0,['Toilet Cleaners'],4.1,2534.0,1
jasmine,2,18.5,['Toilet Cleaners'],4.4,219.0,1
freshener,2,13.5,['Toilet Cleaners'],4.1,189.0,1
flush toilet,2,15.0,['Toilet Cleaners'],4.5,18.0,1
cleaner tablets,2,15.0,['Toilet Cleaners'],4.5,18.0,1
toilet tank,2,15.0,['Toilet Cleaners'],4.5,18.0,1
born,2,25.0,['Toilet Cleaners'],4.35,119.0,1
good,2,25.0,['Toilet Cleaners'],4.35,119.0,1
arctic,2,25.0,['Toilet Cleaners'],4.35,119.0,1
eco-friendly,2,25.0,['Toilet Cleaners'],4.35,119.0,1
born good,2,25.0,['Toilet Cleaners'],4.35,119.0,1
arctic air,2,25.0,['Toilet Cleaners'],4.35,119.0,1
air fragrance,2,25.0,['Toilet Cleaners'],4.35,119.0,1
yellow stains,2,23.0,['Toilet Cleaners'],3.25,116.0,1
magic,2,17.0,['Toilet Cleaners'],1.15,48.0,1
dual-action,2,17.0,['Toilet Cleaners'],1.15,48.0,1
drain,2,17.0,['Toilet Cleaners'],1.15,48.0,1
descaler,2,14.5,['Toilet Cleaners'],2.4,364.0,1
