keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count
kids,53,14.8,['Toys'],4.05,6568.0,1
for kids,38,15.9,['Toys'],4.04,5124.0,1
toy,35,15.3,['Toys'],4.04,8600.0,1
boys,30,13.6,['Toys'],4.1,8623.0,1
girls,30,13.9,['Toys'],4.1,6501.0,1
toys,23,11.7,['Toys'],4.05,10961.0,1
boys girls,21,15.0,['Toys'],4.11,6266.0,1
for boys,19,14.2,['Toys'],4.12,7872.0,1
years,19,14.8,['Toys'],4.02,5108.0,1
gift,16,15.5,['Toys'],4.05,9382.0,1
car,16,21.9,['Toys'],4.06,4624.0,1
game,13,14.6,['Toys'],4.25,14179.0,1
learning,12,14.9,['Toys'],4.1,3505.0,1
gift for,10,12.0,['Toys'],4.02,10246.0,1
toys for,10,12.0,['Toys'],4.09,8999.0,1
educational,10,14.1,['Toys'],4.08,4339.0,1
toy for,10,14.6,['Toys'],4.06,7172.0,1
baby,10,15.5,['Toys'],3.99,6550.0,1
kit,9,14.8,['Toys'],4.12,6737.0,1
birthday,8,12.6,['Toys'],4.08,9140.0,1
battery,7,16.7,['Toys'],3.89,2359.0,1
set for,7,11.3,['Toys'],4.0,1667.0,1
book,7,18.0,['Toys'],4.06,1030.0,1
soft,6,9.0,['Toys'],4.08,26288.0,1
rechargeable,6,17.2,['Toys'],3.93,3550.0,1
musical,6,11.7,['Toys'],3.92,3169.0,1
kids with,6,19.7,['Toys'],3.97,4645.0,1
gifts,6,15.2,['Toys'],4.1,6166.0,1
imagine,6,19.3,['Toys'],4.13,693.0,1
color,6,20.3,['Toys'],4.07,11177.0,1
toy imagine,6,19.3,['Toys'],4.13,693.0,1
diy,6,11.7,['Toys'],4.28,1329.0,1
scooter,5,6.4,['Toys'],4.1,7724.0,1
cute,5,10.6,['Toys'],4.28,10041.0,1
multicolor,5,13.0,['Toys'],4.08,19612.0,1
game for,5,7.0,['Toys'],4.26,22683.0,1
wembley,5,10.0,['Toys'],3.94,3210.0,1
adults,5,10.8,['Toys'],4.24,10076.0,1
birthday gift,5,11.8,['Toys'],4.06,9455.0,1
games,5,18.8,['Toys'],4.26,16587.0,1
pencil,5,17.6,['Toys'],4.4,653.0,1
control,5,16.6,['Toys'],3.94,3491.0,1
fun,5,10.6,['Toys'],3.96,1334.0,1
activity,5,11.4,['Toys'],4.08,1553.0,1
music,5,21.2,['Toys'],3.96,4477.0,1
memory,5,19.6,['Toys'],4.22,1184.0,1
for years,5,10.4,['Toys'],4.0,2797.0,1
storio,5,21.0,['Toys'],4.06,2958.0,1
set with,5,18.8,['Toys'],4.06,2407.0,1
numbers,5,11.4,['Toys'],4.12,1411.0,1
paint,5,1.0,['Toys'],4.3,811.0,1
scooter for,4,7.8,['Toys'],4.1,6904.0,1
soft toy,4,6.5,['Toys'],4.15,30052.0,1
uno,4,14.5,['Toys'],4.5,56156.0,1
card,4,15.0,['Toys'],4.45,41440.0,1
card game,4,15.0,['Toys'],4.45,41440.0,1
capacity,4,13.8,['Toys'],4.17,1557.0,1
school,4,18.5,['Toys'],4.28,636.0,1
remote,4,18.5,['Toys'],4.0,4317.0,1
building,4,14.8,['Toys'],4.33,6868.0,1
blocks,4,11.5,['Toys'],4.22,5329.0,1
boys and,4,13.8,['Toys'],4.1,5115.0,1
and girls,4,13.8,['Toys'],4.1,5115.0,1
wheel,4,17.8,['Toys'],4.08,1960.0,1
ages,4,11.5,['Toys'],4.15,12796.0,1
keyboard,4,10.0,['Toys'],4.05,3458.0,1
age,4,20.2,['Toys'],4.2,726.0,1
brain,4,19.8,['Toys'],4.27,5574.0,1
old,4,14.5,['Toys'],4.2,6588.0,1
years old,4,14.5,['Toys'],4.2,6588.0,1
return,4,22.5,['Toys'],4.08,547.0,1
wooden,4,18.2,['Toys'],4.3,1216.0,1
chess,4,22.5,['Toys'],4.3,654.0,1
operated,4,15.5,['Toys'],3.9,1099.0,1
battery operated,4,15.5,['Toys'],3.9,1099.0,1
toy with,4,19.0,['Toys'],3.88,2392.0,1
sound,4,17.8,['Toys'],3.88,1858.0,1
pool,4,24.5,['Toys'],4.05,474.0,1
girls years,4,14.8,['Toys'],3.95,848.0,1
play,4,20.5,['Toys'],3.77,1456.0,1
big,4,19.5,['Toys'],4.03,7232.0,1
ball,4,15.5,['Toys'],3.95,7640.0,1
indoor,4,17.5,['Toys'],4.03,4038.0,1
cycle,3,9.7,['Toys'],3.97,6678.0,1
mattel,3,11.0,['Toys'],4.5,55169.0,1
above,3,10.7,['Toys'],4.07,36976.0,1
mic,3,8.0,['Toys'],4.03,3080.0,1
portable,3,7.7,['Toys'],4.0,3650.0,1
lights,3,20.0,['Toys'],4.03,1051.0,1
case,3,16.0,['Toys'],4.33,652.0,1
pouch,3,14.0,['Toys'],4.33,389.0,1
for girls,3,6.3,['Toys'],4.07,13792.0,1
easy,3,16.7,['Toys'],4.03,2165.0,1
beginners,3,10.7,['Toys'],4.13,8965.0,1
girls age,3,21.3,['Toys'],4.13,927.0,1
drift,3,24.0,['Toys'],4.23,6725.0,1
perfect,3,17.0,['Toys'],4.13,6932.0,1
puzzle,3,13.3,['Toys'],4.3,7845.0,1
stationery,3,20.7,['Toys'],4.3,250.0,1
unicorn,3,12.3,['Toys'],4.1,12471.0,1
scale,3,22.3,['Toys'],4.13,1142.0,1
storage,3,18.3,['Toys'],4.0,6358.0,1
seat,3,19.0,['Toys'],3.97,7651.0,1
kids years,3,20.7,['Toys'],4.07,2496.0,1
ring,3,21.3,['Toys'],4.13,17012.0,1
inch,3,22.0,['Toys'],4.07,6740.0,1
drawing,3,18.3,['Toys'],4.13,4426.0,1
match,3,24.0,['Toys'],4.3,520.0,1
board,3,18.7,['Toys'],4.27,1581.0,1
rolling,3,20.7,['Toys'],3.8,3018.0,1
babies,3,22.7,['Toys'],3.87,1189.0,1
