rank,asin,title,brand,price,currency,rating,review_count,category,subcategory,badge,image_url,product_url,scraped_at,page_number,title_word_count,has_price,price_tier,review_tier
1,B0C862R9VF,"Lifelong LLKS03 Foldable Kick Skating Cycle| Skate Scooter for Kids(Max User Weight: 50Kg) Kids Scooter (Pink, Blue)",Lifelong,899.0,INR,4.1,11007,Toys,Toys,,"https://images-eu.ssl-images-amazon.com/images/I/61xr-fzqcxL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Lifelong-Adjustable-Weight-50-Manufacturers-LLKS03/dp/B0C862R9VF/ref=zg_bs_g_toys_d_sccl_1/521-7886530-5356756?psc=1,2026-03-24T12:51:34.345226,1,17,True,mid,high
2,B0BFNYP192,Babique Cat Flower Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (25 cm),Babique,189.0,INR,4.2,31464,Toys,Toys,,"https://images-eu.ssl-images-amazon.com/images/I/51KPFz4tPOL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Babique-Flower-Plush-Animal-Decor/dp/B0BFNYP192/ref=zg_bs_g_toys_d_sccl_2/521-7886530-5356756?psc=1,2026-03-24T12:51:34.346311,1,14,True,budget,high
3,B00004TZY8,"Mattel Uno Playing Card Game for 7 Yrs and Above for Adult,Set of 112 Cards, Multicolor",Mattel,109.0,INR,4.5,88249,Toys,Toys,,"https://images-eu.ssl-images-amazon.com/images/I/81B+KiFpWnL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Mattel-Playing-Above-Adult-Multicolor/dp/B00004TZY8/ref=zg_bs_g_toys_d_sccl_3/521-7886530-5356756?psc=1,2026-03-24T12:51:34.347337,1,16,True,budget,high
4,B0DRPCR5VK,"Wembley Rechargeable Karaoke Mic with Speaker for Singing | Wireless Mini Portable Bluetooth Speaker with Microphone & LED Lights | Cute Birthday Gift for Kids Musical Toys for Boys, Girls and Adults",Wembley,548.0,INR,4.0,2324,Toys,Toys,,"https://images-eu.ssl-images-amazon.com/images/I/61ijIp-5KZL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Wembley-Rechargeable-Wireless-Bluetooth-Microphone/dp/B0DRPCR5VK/ref=zg_bs_g_toys_d_sccl_4/521-7886530-5356756?psc=1,2026-03-24T12:51:34.348354,1,32,True,mid,high
5,B0CBNR2ML6,"Mattel Games ​UNO Show ‘em No Mercy Card Game for Kids, Adults & Family Parties and Travel with Extra Cards, Special Rules and Tougher Penalties.",Mattel,199.0,INR,4.5,18142,Toys,Toys,,"https://images-eu.ssl-images-amazon.com/images/I/61-FBLI+khL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Mattel-Games-Parties-Special-Penalties/dp/B0CBNR2ML6/ref=zg_bs_g_toys_d_sccl_5/521-7886530-5356756?psc=1,2026-03-24T12:51:34.349300,1,25,True,budget,high
6,B0DBF8S3HB,"Supreme Deals Canvas Premium Pencil Case, 6 Layer, 3 Compartments, Large Capacity, Cute Aesthetic Design For Girls, Multifunctional Pouch For School Kids, purple",Supreme,258.0,INR,4.2,1005,Toys,Toys,,"https://images-eu.ssl-images-amazon.com/images/I/71a9rKgxQfL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Supreme-Deals-Compartments-Aesthetic-Multifunctional/dp/B0DBF8S3HB/ref=zg_bs_g_toys_d_sccl_6/521-7886530-5356756?psc=1,2026-03-24T12:51:34.350241,1,23,True,budget,high
7,B0CQK691XQ,"popsugar Off Roader Rechargeable Remote Control Car | RC Car Monster Truck | 4 Headlight Modes | Lithium Battery | C-Type Charging | 2.4GHz Remote Controller | Made in India, Red",popsugar,1178.0,INR,4.0,6986,Toys,Toys,,"https://images-eu.ssl-images-amazon.com/images/I/71oLyiFeseL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Popsugar-Rechargeable-Control-Headlight-Charging/dp/B0CQK691XQ/ref=zg_bs_g_toys_d_sccl_7/521-7886530-5356756?psc=1,2026-03-24T12:51:34.351176,1,31,True,mid,high
8,B0CM9MHFQP,"Wembley Educational Kids Laptop Learning Toy for 2-5 Years Boys Girls Computer Toys for 3 Years Fun Activity Learning Alphabet,Letter,Words,Games,Mathematics,Music,Logic Memory Tool - Blue",Wembley,754.0,INR,3.9,3300,Toys,Toys,,"https://images-eu.ssl-images-amazon.com/images/I/71KBMy1AVbL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Wembley-Educational-Computer-Birthday-Mathematics/dp/B0CM9MHFQP/ref=zg_bs_g_toys_d_sccl_8/521-7886530-5356756?psc=1,2026-03-24T12:51:34.352108,1,24,True,mid,high
9,B0DHSBBV6R,LEGO Speed Champions Ferrari SF-24 F1 Race Car Driver Set 77242 Building Blocks Toys for 10+ Gift for Boys and Girls,LEGO,1786.0,INR,4.6,15198,Toys,Toys,,"https://images-eu.ssl-images-amazon.com/images/I/8169xVSJScL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/LEGO-Champions-Ferrari-77242-Building/dp/B0DHSBBV6R/ref=zg_bs_g_toys_d_sccl_9/521-7886530-5356756?psc=1,2026-03-24T12:51:34.353034,1,21,True,mid,high
10,B0D4DZ7WL2,"Kidsmate Cruiser Kick Scooter for Kids with Broad Wheels | 3-Wheel Skate Scooter for Boys & Girls of Ages 2-12 Years | Level Adjustable Height, and Easy Fold Design Scooter for Kids (Black)",Kidsmate,899.0,INR,4.1,5536,Toys,Toys,,"https://images-eu.ssl-images-amazon.com/images/I/71WRciIO7FL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Kidsmate-Cruiser-Scooter-3-Wheel-Adjustable/dp/B0D4DZ7WL2/ref=zg_bs_g_toys_d_sccl_10/521-7886530-5356756?psc=1,2026-03-24T12:51:34.353960,1,33,True,mid,high
11,B0FBJYMQ45,"Storio Kids Piano Keyboard with Mic | 37 Keys, 8 Rhythms, 8 Tones & 6 Demo Songs | Electronic Musical Toy for Boys & Girls Age 2-5 | Educational & Recording Keyboard for Beginners",Storio,684.0,INR,4.1,1957,Toys,Toys,,"https://images-eu.ssl-images-amazon.com/images/I/61LPC9XBeEL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Storio-Electronic-Educational-Recording-Beginners/dp/B0FBJYMQ45/ref=zg_bs_g_toys_d_sccl_11/521-7886530-5356756?psc=1,2026-03-24T12:51:34.354893,1,34,True,mid,high
12,B0FBMGT6V7,Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults,Cubelelo,149.0,INR,4.3,19979,Toys,Toys,,"https://images-eu.ssl-images-amazon.com/images/I/511Z+YLK7RL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/Cubelelo-Explorer-Speedcube-Beginners-Children/dp/B0FBMGT6V7/ref=zg_bs_g_toys_d_sccl_12/521-7886530-5356756?psc=1,2026-03-24T12:51:34.355829,1,35,True,budget,high
13,B0DF2W435S,MPK Perfect Stationery Gift Set with Unicorn Pouch (Pencil | Scale |Eraser | Sharpner) kanya pujan gifts set For Kids Girls Boy Birthday | Kanjak | Navratri Return Gifts 12set,MPK,299.0,INR,4.2,85,Toys,Toys,,"https://images-eu.ssl-images-amazon.com/images/I/619eKI5LnqL._AC_UL300_SR300,200_.jpg",https://www.amazon.in/MPK-Perfect-Stationery-Sharpner-Birthday/dp/B0DF2W435S/ref=zg_bs_g_toys_d_sccl_13/521-7886530-5356756?psc=1,2026-03-24T12:51:34.356906,1,30,True,budget,low
